test_year,seed,variant,Label,CumReturn,AnnReturn,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,PctPositive,NPositionChanges,N_days
2021,123,Parameter-Matched Double DQN,DQN_regS_regR_test2021_v6,-0.059499,-0.059736,0.252956,-0.2362,-0.3158,-0.307488,-0.1943,47.81,48,251
2021,2024,Parameter-Matched Double DQN,DQN_regS_regR_test2021_v6,0.052417,0.052625,0.127619,0.4124,0.5734,-0.073575,0.7153,13.55,61,251
2021,42,Parameter-Matched Double DQN,DQN_regS_regR_test2021_v6,-0.119164,-0.119639,0.238911,-0.5008,-0.6612,-0.328267,-0.3645,47.81,53,251
2021,7,Parameter-Matched Double DQN,DQN_regS_regR_test2021_v6,-0.112767,-0.113216,0.196121,-0.5773,-0.7906,-0.285593,-0.3964,43.82,65,251
2021,999,Parameter-Matched Double DQN,DQN_regS_regR_test2021_v6,-0.422999,-0.424684,0.228531,-1.8583,-2.3493,-0.49747,-0.8537,20.72,72,251
2022,123,Parameter-Matched Double DQN,DQN_regS_regR_test2022_v6,-0.149718,-0.150916,0.181815,-0.83,-1.1998,-0.286071,-0.5275,26.4,84,250
2022,2024,Parameter-Matched Double DQN,DQN_regS_regR_test2022_v6,0.362648,0.365549,0.17951,2.0364,3.5457,-0.094259,3.8781,30.8,86,250
2022,42,Parameter-Matched Double DQN,DQN_regS_regR_test2022_v6,0.224802,0.226601,0.250456,0.9048,1.263,-0.243754,0.9296,35.6,60,250
2022,7,Parameter-Matched Double DQN,DQN_regS_regR_test2022_v6,-0.199167,-0.20076,0.231487,-0.8673,-1.0715,-0.32099,-0.6254,30.8,108,250
2022,999,Parameter-Matched Double DQN,DQN_regS_regR_test2022_v6,0.126699,0.127713,0.181813,0.7024,1.1023,-0.139691,0.9143,31.6,84,250
2023,123,Parameter-Matched Double DQN,DQN_regS_regR_test2023_v6,-0.05714,-0.057828,0.160125,-0.3611,-0.5096,-0.181995,-0.3177,46.59,62,249
2023,2024,Parameter-Matched Double DQN,DQN_regS_regR_test2023_v6,-0.01996,-0.020201,0.145583,-0.1388,-0.1914,-0.101454,-0.1991,37.75,66,249
2023,42,Parameter-Matched Double DQN,DQN_regS_regR_test2023_v6,0.076259,0.077177,0.164717,0.4685,0.6601,-0.115267,0.6696,51.81,59,249
2023,7,Parameter-Matched Double DQN,DQN_regS_regR_test2023_v6,-0.101309,-0.10253,0.162858,-0.6296,-0.8097,-0.261558,-0.392,48.19,59,249
2023,999,Parameter-Matched Double DQN,DQN_regS_regR_test2023_v6,-0.066053,-0.066849,0.153294,-0.4361,-0.6041,-0.158233,-0.4225,38.15,71,249
2024,123,Parameter-Matched Double DQN,DQN_regS_regR_test2024_v6,-0.107406,-0.107834,0.118706,-0.9084,-1.2012,-0.157528,-0.6845,33.07,95,251
2024,2024,Parameter-Matched Double DQN,DQN_regS_regR_test2024_v6,-0.099012,-0.099406,0.138121,-0.7197,-0.9417,-0.209789,-0.4738,39.04,74,251
2024,42,Parameter-Matched Double DQN,DQN_regS_regR_test2024_v6,-0.078052,-0.078363,0.140636,-0.5572,-0.7244,-0.252945,-0.3098,49.0,60,251
2024,7,Parameter-Matched Double DQN,DQN_regS_regR_test2024_v6,-0.030047,-0.030167,0.118016,-0.2556,-0.3827,-0.091474,-0.3298,27.09,86,251
2024,999,Parameter-Matched Double DQN,DQN_regS_regR_test2024_v6,-0.365403,-0.366859,0.134689,-2.7238,-3.5112,-0.37704,-0.973,30.68,79,251
2025,123,Parameter-Matched Double DQN,DQN_regS_regR_test2025_v6,-0.076361,-0.076972,0.132196,-0.5823,-0.7789,-0.162145,-0.4747,39.6,69,250
