strategy,benchmark,N_days,MeanDailyPnLDiff,SharpeDiff,SharpeDiff_CI_L,SharpeDiff_CI_U,BlockSignFlip_p,HolmAdjusted_p
Full IQN,Always Long Spread,1251,-0.0001739936930731615,-0.5660985222921681,-1.6165130874958926,0.38722419186174684,0.6598680263947211,1.0
No Explicit Regime IQN,Always Long Spread,1251,-0.00021781692253012615,-0.5892872223367414,-1.689940469711975,0.4993389724369384,0.634873025394921,1.0
Parameter-Matched Double DQN,Always Long Spread,1251,9.14030648633375e-05,-0.04559047437125985,-0.962215803970747,0.8980311299053529,0.7914417116576684,1.0
w/o Regime-in-Reward,Always Long Spread,1251,-0.00015353261364925834,-0.3738201841338369,-1.3329627625654128,0.6479608437840917,0.7084583083383323,1.0
w/o Regime-in-State,Always Long Spread,1251,-4.4590976501249326e-05,-0.2440229567005714,-1.6218327018725633,1.1193315821743277,0.9242151569686062,1.0
Full IQN,Always Short Spread,1251,-0.0005816058890482979,-1.0648315301780855,-2.415182262542398,0.2938582545014496,0.1765646870625875,0.70625874825035
No Explicit Regime IQN,Always Short Spread,1251,-0.0006254291185052624,-1.0880202302226587,-2.2887506382355225,0.03194059787361474,0.12377524495100979,0.618876224755049
Parameter-Matched Double DQN,Always Short Spread,1251,-0.0003162091311117989,-0.5443234822571773,-1.8347986445808844,0.7305783131061379,0.47170565886822635,0.70625874825035
w/o Regime-in-Reward,Always Short Spread,1251,-0.0005611448096243946,-0.8725531920197543,-2.1175174836288755,0.40682955424051237,0.22835432913417317,0.70625874825035
w/o Regime-in-State,Always Short Spread,1251,-0.00045220317247638575,-0.7427559645864888,-1.8015259304863906,0.30447231602701386,0.20855828834233153,0.70625874825035
Full IQN,Cash / No Trade,1251,-0.00038958655987456927,-0.8298833581689389,-1.672533818755738,-0.006826021220979629,0.04939012197560488,0.1975604879024195
No Explicit Regime IQN,Cash / No Trade,1251,-0.00043340978933153383,-0.8530720582135122,-1.6065067270057471,-0.09303826873150897,0.03159368126374725,0.15796840631873627
Parameter-Matched Double DQN,Cash / No Trade,1251,-0.00012418980193807028,-0.30937531024803067,-1.1020640027606001,0.4908828456881746,0.4563087382523495,0.45670865826834633
w/o Regime-in-Reward,Cash / No Trade,1251,-0.0003691254804506661,-0.6376050200106077,-1.376027211100252,0.13282335034759205,0.1321735652869426,0.39652069586082783
w/o Regime-in-State,Cash / No Trade,1251,-0.00026018384330265713,-0.5078077925773422,-1.4042163121581184,0.3432769895452597,0.22835432913417317,0.45670865826834633
Full IQN,Z-score Rule,1251,-0.0002303423389815254,-0.501704001899961,-1.6084952870968534,0.5584375286230029,0.38392321535692864,1.0
No Explicit Regime IQN,Z-score Rule,1251,-0.00027416556843848984,-0.5248927019445344,-1.755645761615167,0.6539109250652254,0.3793241351729654,1.0
Parameter-Matched Double DQN,Z-score Rule,1251,3.5054418954973666e-05,0.01880404602094715,-1.0502042680078496,1.160214301761224,0.8884223155368927,1.0
w/o Regime-in-Reward,Z-score Rule,1251,-0.00020988125955762217,-0.3094256637416299,-1.3925700650983677,0.6987923116521981,0.42451509698060386,1.0
w/o Regime-in-State,Z-score Rule,1251,-0.00010093962240961326,-0.1796284363083644,-1.6463290522589422,1.1635615633641214,0.7588482303539292,1.0
