strategy,test_year,signal_date,date,pnl,gross_pnl,cost,position,entry_threshold,stability_score
Z-score Rule,2021,2021-01-04,2021-01-05,-0.010536425487263197,-0.009628831358972257,0.0009075941282909405,-1,2.24556303644675,0.09203930326560843
Z-score Rule,2021,2021-01-05,2021-01-06,0.00354614156540965,0.003549594561873018,3.4529964633678857e-06,-1,2.24556303644675,0.09203930326560843
Z-score Rule,2021,2021-01-06,2021-01-07,-0.0064854078593408184,-0.00648210802001729,3.2998393235279533e-06,-1,2.24556303644675,0.09203930326560843
Z-score Rule,2021,2021-01-07,2021-01-08,0.0017242349912868068,0.001727732709607509,3.4977183207022254e-06,-1,2.24556303644675,0.09203930326560843
Z-score Rule,2021,2021-01-08,2021-01-11,0.014071732479506518,0.01407548874270392,3.7562631974018546e-06,-1,2.24556303644675,0.09203930326560843
Z-score Rule,2021,2021-01-11,2021-01-12,-0.0009216009455959405,-0.0,0.0009216009455959405,0,2.24556303644675,0.09203930326560843
Z-score Rule,2021,2021-01-12,2021-01-13,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-13,2021-01-14,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-14,2021-01-15,-0.0,-0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-15,2021-01-19,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-19,2021-01-20,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-20,2021-01-21,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-21,2021-01-22,-0.0,-0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-22,2021-01-25,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-25,2021-01-26,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-26,2021-01-27,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-27,2021-01-28,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-28,2021-01-29,0.0,0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-01-29,2021-02-01,-0.0,-0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-02-01,2021-02-02,-0.0,-0.0,0.0,0,2.24556303644675,0.2213007196572652
Z-score Rule,2021,2021-02-02,2021-02-03,-0.0,-0.0,0.0,0,2.24556303644675,0.2213007196572652
