strategy_A,strategy_B,BlockLength,SharpeDiff,CI_L,CI_U,BlockSignFlipP
Parameter-Matched Double DQN,Full IQN,5,0.5205080479209094,-0.3635037320956718,1.4365996251305235,0.20426524491836054
Parameter-Matched Double DQN,Z-score Rule,5,0.018804046020956533,-1.1196222689439035,1.086156352139167,0.8813728757080973
Parameter-Matched Double DQN,Full IQN,10,0.5205080479209094,-0.3220306576340866,1.418370456651922,0.20859713428857046
Parameter-Matched Double DQN,Z-score Rule,10,0.018804046020956533,-1.0541204585721424,1.091514683695665,0.8923692102632456
Parameter-Matched Double DQN,Full IQN,20,0.5205080479209094,-0.35163989574221155,1.4218792571069037,0.23825391536154616
Parameter-Matched Double DQN,Z-score Rule,20,0.018804046020956533,-1.1255305960921305,1.1066822267887857,0.8897034321892703
Parameter-Matched Double DQN,Full IQN,40,0.5205080479209094,-0.3433852459633204,1.4791409449569815,0.24158613795401532
Parameter-Matched Double DQN,Z-score Rule,40,0.018804046020956533,-1.1497369870920104,1.2147354238905435,0.9100299900033322
Parameter-Matched Double DQN,Full IQN,60,0.5205080479209094,-0.34361963827950254,1.4657247506035165,0.12262579140286571
Parameter-Matched Double DQN,Z-score Rule,60,0.018804046020956533,-1.0976052749680547,1.290533524323765,0.9093635454848384
