seed,test_year,DQN,IQN,ZScore,DQN_gt_IQN,DQN_gt_ZScore,IQN_gt_ZScore
7.0,2021,-0.5773,-0.083,-0.7173,False,True,True
7.0,2022,-0.8673,-0.0128,-0.8563,False,False,True
7.0,2023,-0.6296,-1.1978,1.7279,True,False,False
7.0,2024,-0.2556,-1.6745,-0.5017,True,True,False
7.0,2025,1.1095,0.0115,-0.3147,True,True,True
42.0,2021,-0.5008,-0.8102,-0.7173,True,True,False
42.0,2022,0.9048,-0.2544,-0.8563,True,True,True
42.0,2023,0.4685,-0.7952,1.7279,True,False,False
42.0,2024,-0.5572,-1.6964,-0.5017,True,False,False
42.0,2025,0.4304,0.8246,-0.3147,False,True,True
123.0,2021,-0.2362,-0.3884,-0.7173,True,True,True
123.0,2022,-0.83,-0.1184,-0.8563,False,True,True
123.0,2023,-0.3611,-1.9382,1.7279,True,False,False
123.0,2024,-0.9084,1.1583,-0.5017,False,False,True
123.0,2025,-0.5823,-0.0498,-0.3147,False,False,True
999.0,2021,-1.8583,-0.5158,-0.7173,False,False,True
999.0,2022,0.7024,-0.8898,-0.8563,True,True,False
999.0,2023,-0.4361,-2.4003,1.7279,True,False,False
999.0,2024,-2.7238,-1.8631,-0.5017,False,False,False
999.0,2025,2.1134,-0.2295,-0.3147,True,True,True
2024.0,2021,0.4124,-0.6604,-0.7173,True,True,True
2024.0,2022,2.0364,-0.4411,-0.8563,True,True,True
2024.0,2023,-0.1388,0.2059,1.7279,False,False,False
2024.0,2024,-0.7197,-1.1795,-0.5017,True,False,False
2024.0,2025,-0.2451,0.1054,-0.3147,False,True,True
