strategy,seed,CostMultiplier,LambdaCost,CumNetPnL,Sharpe,MaxDrawdown
Full IQN,7,0.0,0.0,-0.023242629302548418,-0.0255,-0.513545
Full IQN,7,0.25,0.000125,-0.112679453798387,-0.1237,-0.580881
Full IQN,7,0.5,0.00025,-0.20211627829422538,-0.2218,-0.648218
Full IQN,7,0.75,0.000375,-0.29155310279006397,-0.3197,-0.718243
Full IQN,7,1.0,0.0005,-0.38098992728590253,-0.4174,-0.789185
Full IQN,7,1.5,0.00075,-0.5598635762775794,-0.6122,-0.931069
Full IQN,7,2.0,0.001,-0.7387372252692566,-0.8057,-1.072954
Full IQN,42,0.0,0.0,-0.04597466648440897,-0.0494,-0.628668
Full IQN,42,0.25,0.000125,-0.13790465550361203,-0.1482,-0.646854
Full IQN,42,0.5,0.00025,-0.22983464452281507,-0.247,-0.665039
Full IQN,42,0.75,0.000375,-0.321764633542018,-0.3458,-0.716764
Full IQN,42,1.0,0.0005,-0.41369462256122114,-0.4445,-0.783928
Full IQN,42,1.5,0.00075,-0.5975546005996273,-0.6416,-0.918255
Full IQN,42,2.0,0.001,-0.7814145786380333,-0.8379,-1.052582
Full IQN,123,0.0,0.0,0.12177705199930214,0.1253,-0.611973
Full IQN,123,0.25,0.000125,0.02125840783762452,0.0219,-0.662985
Full IQN,123,0.5,0.00025,-0.07926023632405274,-0.0815,-0.713996
Full IQN,123,0.75,0.000375,-0.1797788804857302,-0.1846,-0.765008
Full IQN,123,1.0,0.0005,-0.2802975246474075,-0.2876,-0.816019
Full IQN,123,1.5,0.00075,-0.4813348129707625,-0.4927,-0.9336
Full IQN,123,2.0,0.001,-0.6823721012941174,-0.6965,-1.052163
Full IQN,999,0.0,0.0,-0.6276820510796096,-0.663,-0.844188
Full IQN,999,0.25,0.000125,-0.7173607757767221,-0.7573,-0.907489
Full IQN,999,0.5,0.00025,-0.8070395004738344,-0.8516,-0.970789
Full IQN,999,0.75,0.000375,-0.896718225170947,-0.9456,-1.034089
Full IQN,999,1.0,0.0005,-0.9863969498680594,-1.0394,-1.101015
Full IQN,999,1.5,0.00075,-1.1657543992622843,-1.2261,-1.245099
Full IQN,999,2.0,0.001,-1.3451118486565092,-1.4116,-1.389182
Full IQN,2024,0.0,0.0,-0.07264922156124479,-0.0764,-0.37966
Full IQN,2024,0.25,0.000125,-0.14835814308412326,-0.156,-0.394532
Full IQN,2024,0.5,0.00025,-0.22406706460700182,-0.2355,-0.417044
Full IQN,2024,0.75,0.000375,-0.2997759861298804,-0.3149,-0.472412
Full IQN,2024,1.0,0.0005,-0.37548490765275877,-0.3942,-0.535529
Full IQN,2024,1.5,0.00075,-0.526902750698516,-0.5525,-0.661764
Full IQN,2024,2.0,0.001,-0.678320593744273,-0.71,-0.788
No Explicit Regime IQN,42,0.0,0.0,0.3953036773594357,0.4155,-0.262094
No Explicit Regime IQN,42,0.25,0.000125,0.2888273279464867,0.3035,-0.290768
No Explicit Regime IQN,42,0.5,0.00025,0.1823509785335377,0.1915,-0.320596
No Explicit Regime IQN,42,0.75,0.000375,0.07587462912058848,0.0796,-0.350423
No Explicit Regime IQN,42,1.0,0.0005,-0.03060172029236044,-0.0321,-0.381903
No Explicit Regime IQN,42,1.5,0.00075,-0.24355441911825865,-0.2549,-0.447238
No Explicit Regime IQN,42,2.0,0.001,-0.45650711794415677,-0.4766,-0.537799
No Explicit Regime IQN,123,0.0,0.0,0.12111982004637481,0.1398,-0.662406
No Explicit Regime IQN,123,0.25,0.000125,0.011747314750169685,0.0136,-0.700431
No Explicit Regime IQN,123,0.5,0.00025,-0.09762519054603569,-0.1125,-0.738456
No Explicit Regime IQN,123,0.75,0.000375,-0.20699769584224104,-0.2384,-0.776482
No Explicit Regime IQN,123,1.0,0.0005,-0.3163702011384464,-0.364,-0.814507
No Explicit Regime IQN,123,1.5,0.00075,-0.5351152117308569,-0.6141,-0.890557
No Explicit Regime IQN,123,2.0,0.001,-0.7538602223232675,-0.8624,-0.966607
No Explicit Regime IQN,2024,0.0,0.0,-0.8576024173188327,-0.927,-0.935091
No Explicit Regime IQN,2024,0.25,0.000125,-0.9631055674717199,-1.0407,-1.026007
No Explicit Regime IQN,2024,0.5,0.00025,-1.0686087176246075,-1.1542,-1.128722
No Explicit Regime IQN,2024,0.75,0.000375,-1.1741118677774949,-1.2674,-1.231436
No Explicit Regime IQN,2024,1.0,0.0005,-1.2796150179303822,-1.3803,-1.334151
No Explicit Regime IQN,2024,1.5,0.00075,-1.4906213182361572,-1.6047,-1.53958
No Explicit Regime IQN,2024,2.0,0.001,-1.701627618541932,-1.827,-1.745009
Parameter-Matched Double DQN,7,0.0,0.0,0.08643893785741863,0.1013,-0.44759
Parameter-Matched Double DQN,7,0.25,0.000125,-0.011863044914603216,-0.0139,-0.495025
Parameter-Matched Double DQN,7,0.5,0.00025,-0.110165027686625,-0.1291,-0.542461
Parameter-Matched Double DQN,7,0.75,0.000375,-0.20846701045864674,-0.2441,-0.589896
Parameter-Matched Double DQN,7,1.0,0.0005,-0.3067689932306686,-0.359,-0.654938
