strategy,CostMultiplier,LambdaCost,N_seeds,CumNetPnL_Mean,CumNetPnL_SD,Sharpe_Mean,Sharpe_SD
Full IQN,0.0,0.0,5,-0.12955430328570192,0.28845477085265525,-0.1378,0.30383073412675027
Full IQN,0.25,0.000125,5,-0.219008924065044,0.28677445421592745,-0.23266,0.30204736880165
Full IQN,0.5,0.00025,5,-0.3084635448443859,0.28536255496885643,-0.32748,0.30054681332531213
Full IQN,0.75,0.000375,5,-0.39791816562372795,0.2842230732896073,-0.42211999999999994,0.2992731979312548
Full IQN,1.0,0.0005,5,-0.4873727864030698,0.2833592956413299,-0.51662,0.2982371740745946
Full IQN,1.5,0.00075,5,-0.6662820279617538,0.2824681624035684,-0.70502,0.2968602987938939
Full IQN,2.0,0.001,5,-0.845191269520438,0.2826996724692974,-0.8923400000000001,0.29652248312733387
No Explicit Regime IQN,0.0,0.0,3,-0.11372630663767407,0.6586409856168707,-0.12390000000000001,0.7090344349888799
No Explicit Regime IQN,0.25,0.000125,3,-0.22084364159168787,0.6575773022136397,-0.2412,0.7073971232624571
No Explicit Regime IQN,0.5,0.00025,3,-0.32796097654570183,0.6565180660782175,-0.3584,0.7057458678589624
No Explicit Regime IQN,0.75,0.000375,3,-0.4350783114997158,0.6554632987711098,-0.47540000000000004,0.7040802511077839
No Explicit Regime IQN,1.0,0.0005,3,-0.5421956464537296,0.6544130219005699,-0.5921333333333334,0.7024559938767221
No Explicit Regime IQN,1.5,0.00075,3,-0.7564303163617575,0.6523260261343423,-0.8245666666666667,0.6990795186052394
No Explicit Regime IQN,2.0,0.001,3,-0.9706649862697855,0.6502572525582799,-1.0553333333333332,0.6955663112409437
Parameter-Matched Double DQN,0.0,0.0,5,0.2228897066848481,0.31414272330129756,0.27386,0.39765596059910885
Parameter-Matched Double DQN,0.25,0.000125,5,0.1283269194575084,0.3205133255676279,0.1619,0.3996257937120676
Parameter-Matched Double DQN,0.5,0.00025,5,0.033764132230168796,0.3269169688195941,0.050000000000000024,0.4018977295282968
Parameter-Matched Double DQN,0.75,0.000375,5,-0.06079865499717084,0.33335174892366937,-0.06180000000000001,0.40455160981016997
Parameter-Matched Double DQN,1.0,0.0005,5,-0.15536144222451048,0.3398158970549396,-0.17350000000000004,0.4075122206756504
Parameter-Matched Double DQN,1.5,0.00075,5,-0.34448701667918974,0.35282583347926955,-0.3962,0.4144489896235724
Parameter-Matched Double DQN,2.0,0.001,5,-0.533612591133869,0.3659349383967801,-0.6176999999999999,0.4224965384473582
w/o Regime-in-Reward,0.0,0.0,3,-0.09837511322281407,0.4464837620555833,-0.09446666666666666,0.4471573585812195
w/o Regime-in-Reward,0.25,0.000125,3,-0.18922532892805263,0.45415069936313235,-0.1869333333333333,0.453288896106372
w/o Regime-in-Reward,0.5,0.00025,3,-0.28007554463329126,0.4618419532703994,-0.2793666666666667,0.45949128754888635
w/o Regime-in-Reward,0.75,0.000375,3,-0.3709257603385298,0.4695563288734307,-0.37176666666666663,0.46576428945694553
w/o Regime-in-Reward,1.0,0.0005,3,-0.46177597604376835,0.4772927050410984,-0.4640666666666667,0.47207304872586553
w/o Regime-in-Reward,1.5,0.00075,3,-0.6434764074542455,0.4928273117774624,-0.6483,0.4846778414576016
w/o Regime-in-Reward,2.0,0.001,3,-0.8251768388647226,0.5084380873279181,-0.8317333333333333,0.49723883932506063
w/o Regime-in-State,0.0,0.0,3,0.10658076167598696,0.01671661734829588,0.11213333333333332,0.0169246368744896
w/o Regime-in-State,0.25,0.000125,3,-0.001436925735911208,0.012718266825703511,-0.0015333333333333334,0.013428824718989124
w/o Regime-in-State,0.5,0.00025,3,-0.10945461314780917,0.011191422696838347,-0.11513333333333332,0.011595401387331675
w/o Regime-in-State,0.75,0.000375,3,-0.21747230055970732,0.013035573955829514,-0.2286,0.012176616935750267
w/o Regime-in-State,1.0,0.0005,3,-0.3254899879716055,0.017198518836968765,-0.34190000000000004,0.014984325143295561
w/o Regime-in-State,1.5,0.00075,3,-0.5415253627954015,0.028125942120898476,-0.5678,0.023384610323886102
w/o Regime-in-State,2.0,0.001,3,-0.757560737619198,0.04013834391186304,-0.7924333333333333,0.03310125878774604
