strategy,seed,test_year,ActionLegCost,HedgeRebalanceCost,ForcedCloseCost,TotalCost,DirectReversal,Open,Close,HoldSame
Full IQN,7,2530772,0.225,0.1296573122916923,0.0030899856916768364,0.35774729798336913,138,89,85,939
Full IQN,42,2530772,0.227,0.13762997038515187,0.0030899856916768364,0.3677199560768287,132,97,93,929
Full IQN,123,2530772,0.2545,0.143750622611677,0.0038239540350485093,0.4020745766467255,175,82,77,917
Full IQN,999,2530772,0.227,0.1287189105246013,0.002995988263866706,0.358714898788468,101,128,124,898
Full IQN,2024,2530772,0.191,0.10885544274298946,0.002980243348538941,0.3028356860915284,91,102,98,960
No Explicit Regime IQN,42,2530772,0.2625,0.1595814436167647,0.0038239540350485093,0.42590539765181323,186,79,74,912
No Explicit Regime IQN,123,2530772,0.279,0.15537091457650465,0.0031191066083362997,0.4374900211848409,163,118,114,856
No Explicit Regime IQN,2024,2530772,0.2615,0.15668864657651765,0.0038239540350485093,0.42201260061156615,195,69,64,923
Parameter-Matched Double DQN,7,2530772,0.2445,0.14488397705305722,0.0038239540350485093,0.3932079310881057,112,135,130,874
Parameter-Matched Double DQN,42,2530772,0.222,0.11465206414998186,0.002995988263866706,0.33964805241384854,145,79,75,952
Parameter-Matched Double DQN,123,2530772,0.2525,0.13491374100045667,0.002275395921826731,0.3896891369222834,147,107,104,893
Parameter-Matched Double DQN,999,2530772,0.2595,0.1471984207451664,0.0038239540350485093,0.4105223747802149,144,118,113,876
Parameter-Matched Double DQN,2024,2530772,0.2265,0.12786429530737717,0.0038239540350485093,0.3581882493424257,108,121,116,906
w/o Regime-in-Reward,42,2530772,0.2445,0.14900395493020488,0.0038239540350485093,0.3973279089652534,183,64,59,945
w/o Regime-in-Reward,123,2530772,0.23600000000000002,0.12335524675438396,0.003110492227775254,0.3624657389821592,166,72,68,945
w/o Regime-in-Reward,2024,2530772,0.20500000000000002,0.12228983390715824,0.0031191066083362997,0.3304089405154945,116,91,87,957
w/o Regime-in-State,42,2530772,0.2795,0.16035636004924436,0.002405644801063044,0.4422620048503074,158,123,120,850
w/o Regime-in-State,123,2530772,0.258,0.1420871255277223,0.002980243348538941,0.4030673688762612,136,124,120,871
w/o Regime-in-State,2024,2530772,0.28550000000000003,0.16155892118121903,0.0038239540350485093,0.4508828752162675,173,115,110,853
