strategy,seed,test_year,date,pnl,position,stability_score,regime_band
Parameter-Matched Double DQN,123,2021,2021-01-05,0.008721237230681318,1,0.09203930326560843,Low
Parameter-Matched Double DQN,123,2021,2021-01-06,-0.0035530475583363855,1,0.09203930326560843,Low
Parameter-Matched Double DQN,123,2021,2021-01-07,0.006478808180693762,1,0.09203930326560843,Low
Parameter-Matched Double DQN,123,2021,2021-01-08,-0.0017312304279282114,1,0.09203930326560843,Low
Parameter-Matched Double DQN,123,2021,2021-01-11,-0.014079245005901322,1,0.09203930326560843,Low
Parameter-Matched Double DQN,123,2021,2021-01-12,-0.0017317710383230695,1,0.09203930326560843,Low
Parameter-Matched Double DQN,123,2021,2021-01-13,0.008363286012792133,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-14,0.01325690660436649,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-15,-0.010660003718508946,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-19,0.0022291077810496695,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-20,0.004188639827958941,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-21,0.008997139209115523,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-22,-0.009207955481842807,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-25,0.007101869417207692,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-26,0.00538931986745395,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-27,0.00306842985248431,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-28,0.0042682418976044975,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-01-29,0.00396794498029167,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-01,-0.0024047732447602913,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-02,-0.00231221517215285,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-03,-0.004131295290925438,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-04,0.00610581563421451,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-05,0.0015111748689226514,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-08,0.0017923530657611023,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-09,0.005423088379027079,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-10,0.0022051490159292787,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-11,-0.00517652753233214,1,0.2213007196572652,Low
Parameter-Matched Double DQN,123,2021,2021-02-12,0.007170205961572157,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-16,0.006479160016746442,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-17,-0.008365684874841343,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-18,0.007254003322370439,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-19,0.005459186802790726,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-22,0.007623176744633885,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-23,0.007584737262152325,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-24,0.008086397051262512,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-25,-0.001973828789779883,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-02-26,0.0017774718269822564,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-03-01,-0.001219222619558272,1,0.06554053407848053,Low
Parameter-Matched Double DQN,123,2021,2021-03-02,0.007029388732555585,1,0.06554053407848053,Low
