test_year,train_end,feature_a,feature_b,spearman_rho,N_train
2021,2019-12-31,ZScore20,ZScore20,1.0,3776
2021,2019-12-31,ZScore20,SpreadReturn,0.42952470043888763,3776
2021,2019-12-31,ZScore20,RollStd20,0.05512099503843959,3776
2021,2019-12-31,ZScore20,DeltaBeta5d,0.006611307999844157,3776
2021,2019-12-31,ZScore20,VolS_roll20,0.039652758426377506,3776
2021,2019-12-31,ZScore20,VolSM_roll20,0.037753025132394175,3776
2021,2019-12-31,ZScore20,RegimeEGScore,-0.04752926471408382,3776
2021,2019-12-31,ZScore20,RegimeHLScore,-0.06009505712412642,3776
2021,2019-12-31,ZScore20,RegimeCVScore,0.024594958297375687,3776
2021,2019-12-31,SpreadReturn,ZScore20,0.42952470043888763,3776
2021,2019-12-31,SpreadReturn,SpreadReturn,1.0,3776
2021,2019-12-31,SpreadReturn,RollStd20,0.0033836420428311623,3776
2021,2019-12-31,SpreadReturn,DeltaBeta5d,0.002511933497524298,3776
2021,2019-12-31,SpreadReturn,VolS_roll20,0.014461376131604768,3776
2021,2019-12-31,SpreadReturn,VolSM_roll20,0.027749595674068827,3776
2021,2019-12-31,SpreadReturn,RegimeEGScore,-0.025509097765357834,3776
2021,2019-12-31,SpreadReturn,RegimeHLScore,-0.04538983242828459,3776
2021,2019-12-31,SpreadReturn,RegimeCVScore,-0.013423822308205229,3776
2021,2019-12-31,RollStd20,ZScore20,0.05512099503843959,3776
2021,2019-12-31,RollStd20,SpreadReturn,0.0033836420428311623,3776
2021,2019-12-31,RollStd20,RollStd20,1.0,3776
2021,2019-12-31,RollStd20,DeltaBeta5d,0.01747725123080595,3776
2021,2019-12-31,RollStd20,VolS_roll20,-0.0946540352485238,3776
2021,2019-12-31,RollStd20,VolSM_roll20,-0.1527377783551371,3776
2021,2019-12-31,RollStd20,RegimeEGScore,-0.11026232189089467,3776
2021,2019-12-31,RollStd20,RegimeHLScore,0.009372681372077848,3776
2021,2019-12-31,RollStd20,RegimeCVScore,-0.10808283483891042,3776
2021,2019-12-31,DeltaBeta5d,ZScore20,0.006611307999844157,3776
2021,2019-12-31,DeltaBeta5d,SpreadReturn,0.002511933497524298,3776
2021,2019-12-31,DeltaBeta5d,RollStd20,0.01747725123080595,3776
2021,2019-12-31,DeltaBeta5d,DeltaBeta5d,1.0,3776
2021,2019-12-31,DeltaBeta5d,VolS_roll20,-0.006390248713336321,3776
2021,2019-12-31,DeltaBeta5d,VolSM_roll20,-0.055611583156715175,3776
2021,2019-12-31,DeltaBeta5d,RegimeEGScore,-0.0859287055190945,3776
2021,2019-12-31,DeltaBeta5d,RegimeHLScore,-0.03196609425954991,3776
2021,2019-12-31,DeltaBeta5d,RegimeCVScore,0.05743692342453649,3776
2021,2019-12-31,VolS_roll20,ZScore20,0.039652758426377506,3776
2021,2019-12-31,VolS_roll20,SpreadReturn,0.014461376131604768,3776
2021,2019-12-31,VolS_roll20,RollStd20,-0.0946540352485238,3776
2021,2019-12-31,VolS_roll20,DeltaBeta5d,-0.006390248713336321,3776
2021,2019-12-31,VolS_roll20,VolS_roll20,1.0,3776
2021,2019-12-31,VolS_roll20,VolSM_roll20,0.6578762266209343,3776
2021,2019-12-31,VolS_roll20,RegimeEGScore,-0.07211978027234257,3776
2021,2019-12-31,VolS_roll20,RegimeHLScore,-0.13513824128565693,3776
2021,2019-12-31,VolS_roll20,RegimeCVScore,-0.12426291974480587,3776
2021,2019-12-31,VolSM_roll20,ZScore20,0.037753025132394175,3776
2021,2019-12-31,VolSM_roll20,SpreadReturn,0.027749595674068827,3776
2021,2019-12-31,VolSM_roll20,RollStd20,-0.1527377783551371,3776
2021,2019-12-31,VolSM_roll20,DeltaBeta5d,-0.055611583156715175,3776
2021,2019-12-31,VolSM_roll20,VolS_roll20,0.6578762266209343,3776
2021,2019-12-31,VolSM_roll20,VolSM_roll20,1.0,3776
2021,2019-12-31,VolSM_roll20,RegimeEGScore,-0.1268621879814164,3776
2021,2019-12-31,VolSM_roll20,RegimeHLScore,-0.19423783986643342,3776
2021,2019-12-31,VolSM_roll20,RegimeCVScore,-0.17812461740883462,3776
2021,2019-12-31,RegimeEGScore,ZScore20,-0.04752926471408382,3776
2021,2019-12-31,RegimeEGScore,SpreadReturn,-0.025509097765357834,3776
2021,2019-12-31,RegimeEGScore,RollStd20,-0.11026232189089467,3776
2021,2019-12-31,RegimeEGScore,DeltaBeta5d,-0.0859287055190945,3776
2021,2019-12-31,RegimeEGScore,VolS_roll20,-0.07211978027234257,3776
2021,2019-12-31,RegimeEGScore,VolSM_roll20,-0.1268621879814164,3776
2021,2019-12-31,RegimeEGScore,RegimeEGScore,1.0,3776
2021,2019-12-31,RegimeEGScore,RegimeHLScore,0.8219064019964445,3776
2021,2019-12-31,RegimeEGScore,RegimeCVScore,0.21301231069330218,3776
2021,2019-12-31,RegimeHLScore,ZScore20,-0.06009505712412642,3776
2021,2019-12-31,RegimeHLScore,SpreadReturn,-0.04538983242828459,3776
2021,2019-12-31,RegimeHLScore,RollStd20,0.009372681372077848,3776
2021,2019-12-31,RegimeHLScore,DeltaBeta5d,-0.03196609425954991,3776
2021,2019-12-31,RegimeHLScore,VolS_roll20,-0.13513824128565693,3776
2021,2019-12-31,RegimeHLScore,VolSM_roll20,-0.19423783986643342,3776
2021,2019-12-31,RegimeHLScore,RegimeEGScore,0.8219064019964445,3776
2021,2019-12-31,RegimeHLScore,RegimeHLScore,1.0,3776
2021,2019-12-31,RegimeHLScore,RegimeCVScore,0.2738306285451637,3776
2021,2019-12-31,RegimeCVScore,ZScore20,0.024594958297375687,3776
2021,2019-12-31,RegimeCVScore,SpreadReturn,-0.013423822308205229,3776
2021,2019-12-31,RegimeCVScore,RollStd20,-0.10808283483891042,3776
2021,2019-12-31,RegimeCVScore,DeltaBeta5d,0.05743692342453649,3776
2021,2019-12-31,RegimeCVScore,VolS_roll20,-0.12426291974480587,3776
2021,2019-12-31,RegimeCVScore,VolSM_roll20,-0.17812461740883462,3776
2021,2019-12-31,RegimeCVScore,RegimeEGScore,0.21301231069330218,3776
2021,2019-12-31,RegimeCVScore,RegimeHLScore,0.2738306285451637,3776
2021,2019-12-31,RegimeCVScore,RegimeCVScore,1.0,3776
2022,2020-12-31,ZScore20,ZScore20,1.0,4028
2022,2020-12-31,ZScore20,SpreadReturn,0.433740008094839,4028
2022,2020-12-31,ZScore20,RollStd20,0.04583076516115832,4028
2022,2020-12-31,ZScore20,DeltaBeta5d,0.006802840550654772,4028
2022,2020-12-31,ZScore20,VolS_roll20,0.03760058861044028,4028
2022,2020-12-31,ZScore20,VolSM_roll20,0.047539819609405044,4028
2022,2020-12-31,ZScore20,RegimeEGScore,-0.051915746264914374,4028
2022,2020-12-31,ZScore20,RegimeHLScore,-0.07508356803827082,4028
