variant,seed,test_year,group,features,sharpe_loss,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,42,2021,ZScore20,ZScore20,-0.5146550000000001,-0.12098769999999999,24.203187250996017,2.25,-0.31872509960159545
Full IQN,42,2021,SpreadReturn,SpreadReturn,0.056495,0.014979300000000001,35.199203187251,4.5,-0.6573705179282885
Full IQN,42,2021,RollStd20,RollStd20,-0.21663500000000005,-0.0476022,33.56573705179282,8.95,-1.0557768924302802
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,-0.24379000000000003,-0.06737715000000001,41.87250996015936,-2.4,-0.17928286852589795
Full IQN,42,2021,VolS_roll20,VolS_roll20,0.05270499999999993,0.00563549999999999,24.32270916334661,-2.0,2.4501992031872497
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,0.08757499999999996,0.025027700000000007,30.776892430278885,7.3,3.4262948207171307
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,-0.058214999999999996,-0.014221399999999959,2.1115537848605577,0.15,0.1195219123505968
Full IQN,42,2021,RegimeHLScore,RegimeHLScore,0.26895499999999994,0.06077459999999998,15.199203187250996,6.1,0.876494023904381
Full IQN,42,2021,RegimeCVScore,RegimeCVScore,-0.12880500000000003,-0.030001999999999984,30.1195219123506,-2.25,-0.6175298804780897
Full IQN,42,2021,EG + Half-life,RegimeEGScore + RegimeHLScore,0.22508499999999998,0.05099335000000001,14.302788844621514,4.45,0.5378486055776874
Full IQN,42,2021,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,0.358915,0.08517584999999998,33.545816733067724,-9.55,-1.2749003984063767
Full IQN,42,2021,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,0.03854999999999997,0.014243199999999987,54.28286852589641,-8.8,-0.956175298804783
Full IQN,42,2022,ZScore20,ZScore20,0.179035,0.049600750000000006,19.5,-2.8,-1.3999999999999997
Full IQN,42,2022,SpreadReturn,SpreadReturn,0.566145,0.1540754,42.2,1.75,-1.3599999999999997
Full IQN,42,2022,RollStd20,RollStd20,0.05375999999999999,0.015286150000000002,21.32,3.15,-0.35999999999999943
Full IQN,42,2022,DeltaBeta5d,DeltaBeta5d,-0.878605,-0.23352904999999996,25.82,1.0,-0.9599999999999994
Full IQN,42,2022,VolS_roll20,VolS_roll20,0.9100949999999999,0.2455405,26.419999999999998,-7.85,-1.1599999999999997
Full IQN,42,2022,VolSM_roll20,VolSM_roll20,-0.11606000000000001,-0.03027614999999998,18.66,2.95,-0.039999999999999494
Full IQN,42,2022,RegimeEGScore,RegimeEGScore,0.09523499999999997,0.02488395000000003,3.94,2.85,-0.21999999999999967
Full IQN,42,2022,RegimeHLScore,RegimeHLScore,-0.15508000000000002,-0.04058619999999997,10.72,6.5,4.0245584642661925e-16
Full IQN,42,2022,RegimeCVScore,RegimeCVScore,-0.153985,-0.03979269999999998,19.0,-1.6,-1.3799999999999994
Full IQN,42,2022,EG + Half-life,RegimeEGScore + RegimeHLScore,0.059889999999999964,0.015686050000000035,8.42,5.75,0.2600000000000004
Full IQN,42,2022,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,0.26436499999999996,0.0703808,21.880000000000003,0.1,-0.8399999999999996
Full IQN,42,2022,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-0.144875,-0.03800394999999999,49.18,2.9,-0.29999999999999954
Full IQN,42,2023,ZScore20,ZScore20,-0.019530000000000013,-0.0014523000000000146,29.477911646586346,4.25,-1.546184738955821
Full IQN,42,2023,SpreadReturn,SpreadReturn,-0.013725000000000025,-0.004566200000000004,33.15261044176707,-1.3,0.26104417670683083
Full IQN,42,2023,RollStd20,RollStd20,-0.502005,-0.06673090000000002,27.550200803212853,7.3,-4.277108433734936
Full IQN,42,2023,DeltaBeta5d,DeltaBeta5d,0.217045,0.027574849999999977,22.068273092369477,-0.45,0.06024096385542497
Full IQN,42,2023,VolS_roll20,VolS_roll20,0.281615,0.04444354999999999,36.06425702811245,2.0,-2.0080321285140537
Full IQN,42,2023,VolSM_roll20,VolSM_roll20,0.18671499999999996,0.028286949999999995,33.092369477911646,1.65,-0.7228915662650579
Full IQN,42,2023,RegimeEGScore,RegimeEGScore,-0.048560000000000034,0.0004895499999999841,29.87951807228916,1.5,-6.626506024096382
Full IQN,42,2023,RegimeHLScore,RegimeHLScore,0.08077999999999998,0.006800649999999991,17.289156626506024,-4.2,1.0441767068273127
Full IQN,42,2023,RegimeCVScore,RegimeCVScore,-0.66483,-0.09079779999999998,23.955823293172692,-0.2,4.056224899598396
Full IQN,42,2023,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.384945,-0.05223150000000001,29.357429718875505,0.6,-2.4297188755020054
Full IQN,42,2023,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.3532,-0.04486905,35.863453815261046,6.3,-2.289156626506021
Full IQN,42,2023,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,0.44553000000000004,0.0674604,53.895582329317264,7.1,-1.2449799196787124
Full IQN,42,2024,ZScore20,ZScore20,-0.11123999999999987,0.010168949999999979,38.545816733067724,4.45,-9.681274900398407
Full IQN,42,2024,SpreadReturn,SpreadReturn,-0.07025999999999993,0.013413999999999954,31.61354581673307,0.9,-9.561752988047811
Full IQN,42,2024,RollStd20,RollStd20,-0.6292449999999998,-0.05152955000000002,34.223107569721115,-0.05,-3.7450199203187267
Full IQN,42,2024,DeltaBeta5d,DeltaBeta5d,-0.4673449999999999,-0.03422090000000002,29.40239043824701,2.9,-4.760956175298808
Full IQN,42,2024,VolS_roll20,VolS_roll20,-1.4351049999999999,-0.139673,40.37848605577689,7.3,-5.239043824701199
Full IQN,42,2024,VolSM_roll20,VolSM_roll20,-0.7547649999999999,-0.07231705000000002,36.254980079681275,-1.2,-2.968127490039843
Full IQN,42,2024,RegimeEGScore,RegimeEGScore,0.5434600000000002,0.04276939999999992,14.860557768924304,-2.8,2.290836653386454
Full IQN,42,2024,RegimeHLScore,RegimeHLScore,0.4620750000000001,0.04906214999999993,14.04382470119522,3.0,-3.3266932270916363
Full IQN,42,2024,RegimeCVScore,RegimeCVScore,-0.19287999999999988,-0.01289645000000005,26.772908366533862,-4.1,-6.274900398406375
Full IQN,42,2024,EG + Half-life,RegimeEGScore + RegimeHLScore,0.6175500000000002,0.06097589999999994,16.314741035856574,-1.0,-2.6693227091633482
Full IQN,42,2024,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.003804999999999903,0.0016894499999999598,29.58167330677291,-0.85,-5.1992031872509985
Full IQN,42,2024,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-1.24768,-0.12122395000000001,53.36653386454183,-1.05,-2.5498007968127503
Full IQN,42,2025,ZScore20,ZScore20,-0.501885,-0.07071039999999998,17.78,2.95,0.08
Full IQN,42,2025,SpreadReturn,SpreadReturn,0.336345,0.04879275000000001,17.16,0.1,0.06000000000000001
Full IQN,42,2025,RollStd20,RollStd20,-0.711955,-0.09946044999999995,11.7,4.1,0.0
Full IQN,42,2025,DeltaBeta5d,DeltaBeta5d,-0.019774999999999997,-0.0019910999999999957,21.259999999999998,9.25,0.0
Full IQN,42,2025,VolS_roll20,VolS_roll20,-0.5865349999999999,-0.08129919999999995,25.0,10.15,0.2
Full IQN,42,2025,VolSM_roll20,VolSM_roll20,1.25859,0.1802356,31.919999999999998,7.1,0.06000000000000001
Full IQN,42,2025,RegimeEGScore,RegimeEGScore,-0.616235,-0.08620404999999999,15.5,3.25,0.0
Full IQN,42,2025,RegimeHLScore,RegimeHLScore,-0.660525,-0.09186774999999994,16.04,7.2,0.0
Full IQN,42,2025,RegimeCVScore,RegimeCVScore,0.11365499999999999,0.01718095,13.8,5.6,0.32
Full IQN,42,2025,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.5335799999999999,-0.07496784999999997,17.919999999999998,8.1,0.0
Full IQN,42,2025,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.39003,-0.05438419999999997,27.119999999999997,10.1,0.08
Full IQN,42,2025,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,1.4063050000000001,0.20154429999999998,46.02,12.2,0.06000000000000001
Full IQN,123,2021,ZScore20,ZScore20,0.82537,0.1980932,23.306772908366533,3.85,-0.15936254980079792
Full IQN,123,2021,SpreadReturn,SpreadReturn,0.12481999999999997,0.030009049999999975,31.852589641434264,7.6,-3.0079681274900416
Full IQN,123,2021,RollStd20,RollStd20,0.2608499999999999,0.06431214999999997,37.13147410358566,11.2,0.7768924302788823
Full IQN,123,2021,DeltaBeta5d,DeltaBeta5d,0.65501,0.15889499999999998,37.03187250996016,7.6,-3.944223107569723
Full IQN,123,2021,VolS_roll20,VolS_roll20,0.7204249999999999,0.17744155,23.54581673306773,0.6,-2.09163346613546
Full IQN,123,2021,VolSM_roll20,VolSM_roll20,0.4026199999999999,0.09992189999999998,24.46215139442231,-1.9,-3.5458167330677313
Full IQN,123,2021,RegimeEGScore,RegimeEGScore,-0.036250000000000025,-0.008593900000000026,2.549800796812749,0.8,0.05976095617529803
Full IQN,123,2021,RegimeHLScore,RegimeHLScore,0.01709499999999995,0.004884699999999975,12.808764940239044,4.75,-1.314741035856575
Full IQN,123,2021,RegimeCVScore,RegimeCVScore,0.27599499999999993,0.06811945,30.39840637450199,-3.8,-0.6374501992031889
Full IQN,123,2021,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.045065000000000036,-0.010178200000000037,12.569721115537849,5.0,-0.7768924302788858
Full IQN,123,2021,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,0.3662849999999999,0.08959804999999998,35.85657370517929,1.15,-0.43824701195219307
Full IQN,123,2021,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,0.35677,0.07815354999999999,52.66932270916335,-0.7,-1.314741035856576
