variant,seed,test_year,group,features,repeat,block_length,n_days,baseline_sharpe,perturbed_sharpe,sharpe_loss,baseline_net_pnl,perturbed_net_pnl,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,42,2021,ZScore20,ZScore20,0,20,251,-0.8102,-0.5457,-0.26450000000000007,-0.19155,-0.130934,-0.060616,23.50597609561753,4,-0.7968127490039869
Full IQN,42,2021,ZScore20,ZScore20,1,20,251,-0.8102,0.4666,-1.2768000000000002,-0.19155,0.110125,-0.301675,29.08366533864542,18,2.7888446215139417
Full IQN,42,2021,ZScore20,ZScore20,2,20,251,-0.8102,-1.226,0.41579999999999995,-0.19155,-0.29136,0.09981000000000001,20.717131474103585,9,0.3984063745019917
Full IQN,42,2021,ZScore20,ZScore20,3,20,251,-0.8102,0.1233,-0.9335,-0.19155,0.030047,-0.221597,27.490039840637447,7,-1.1952191235059786
Full IQN,42,2021,ZScore20,ZScore20,4,20,251,-0.8102,-0.9025,0.09229999999999994,-0.19155,-0.20957,0.018020000000000008,26.294820717131472,0,-1.1952191235059786
Full IQN,42,2021,ZScore20,ZScore20,5,20,251,-0.8102,0.0054,-0.8156,-0.19155,0.001265,-0.192815,19.12350597609562,-1,1.5936254980079667
Full IQN,42,2021,ZScore20,ZScore20,6,20,251,-0.8102,-1.0266,0.21639999999999993,-0.19155,-0.249013,0.057463000000000014,26.294820717131472,-2,-3.5856573705179304
Full IQN,42,2021,ZScore20,ZScore20,7,20,251,-0.8102,-1.0017,0.1915,-0.19155,-0.236619,0.045069,27.091633466135455,0,1.5936254980079667
Full IQN,42,2021,ZScore20,ZScore20,8,20,251,-0.8102,0.2391,-1.0493000000000001,-0.19155,0.055426,-0.246976,24.302788844621514,11,2.39043824701195
Full IQN,42,2021,ZScore20,ZScore20,9,20,251,-0.8102,0.0988,-0.909,-0.19155,0.02427,-0.21582,24.302788844621514,-3,-2.3904382470119536
Full IQN,42,2021,ZScore20,ZScore20,10,20,251,-0.8102,-0.0306,-0.7796000000000001,-0.19155,-0.007092,-0.184458,25.89641434262948,3,2.39043824701195
Full IQN,42,2021,ZScore20,ZScore20,11,20,251,-0.8102,-0.5602,-0.25,-0.19155,-0.134396,-0.05715400000000001,23.50597609561753,-3,-1.5936254980079703
Full IQN,42,2021,ZScore20,ZScore20,12,20,251,-0.8102,0.0021,-0.8123,-0.19155,0.000519,-0.192069,27.88844621513944,3,0.0
Full IQN,42,2021,ZScore20,ZScore20,13,20,251,-0.8102,-0.2657,-0.5445,-0.19155,-0.062612,-0.128938,21.115537848605577,-1,1.9920318725099584
Full IQN,42,2021,ZScore20,ZScore20,14,20,251,-0.8102,-0.1316,-0.6786000000000001,-0.19155,-0.031144,-0.160406,18.725099601593627,-10,-2.788844621513947
Full IQN,42,2021,ZScore20,ZScore20,15,20,251,-0.8102,-0.4283,-0.3819,-0.19155,-0.102881,-0.088669,22.709163346613543,0,-1.1952191235059786
Full IQN,42,2021,ZScore20,ZScore20,16,20,251,-0.8102,0.0579,-0.8681,-0.19155,0.014085,-0.205635,21.51394422310757,5,-2.3904382470119536
Full IQN,42,2021,ZScore20,ZScore20,17,20,251,-0.8102,-0.0791,-0.7311000000000001,-0.19155,-0.019367,-0.172183,23.107569721115535,0,-2.3904382470119536
Full IQN,42,2021,ZScore20,ZScore20,18,20,251,-0.8102,-0.0384,-0.7718,-0.19155,-0.009361,-0.182189,25.49800796812749,-8,-1.5936254980079703
Full IQN,42,2021,ZScore20,ZScore20,19,20,251,-0.8102,-0.6677,-0.14250000000000007,-0.19155,-0.162634,-0.028915999999999997,25.89641434262948,13,1.5936254980079667
Full IQN,42,2021,SpreadReturn,SpreadReturn,0,20,251,-0.8102,-1.3671,0.5569,-0.19155,-0.327932,0.136382,35.45816733067729,12,-0.7968127490039869
Full IQN,42,2021,SpreadReturn,SpreadReturn,1,20,251,-0.8102,-1.3912,0.581,-0.19155,-0.323106,0.131556,31.872509960159363,5,0.7968127490039834
Full IQN,42,2021,SpreadReturn,SpreadReturn,2,20,251,-0.8102,-0.5645,-0.24570000000000003,-0.19155,-0.134056,-0.05749399999999999,33.46613545816733,0,-1.1952191235059786
Full IQN,42,2021,SpreadReturn,SpreadReturn,3,20,251,-0.8102,-0.682,-0.12819999999999998,-0.19155,-0.164151,-0.027399000000000007,36.254980079681275,4,-2.3904382470119536
Full IQN,42,2021,SpreadReturn,SpreadReturn,4,20,251,-0.8102,-0.5784,-0.2318,-0.19155,-0.136434,-0.055116,35.45816733067729,-5,-0.39840637450199523
Full IQN,42,2021,SpreadReturn,SpreadReturn,5,20,251,-0.8102,-0.9425,0.13229999999999997,-0.19155,-0.221329,0.029779,33.86454183266932,9,0.0
Full IQN,42,2021,SpreadReturn,SpreadReturn,6,20,251,-0.8102,-1.2801,0.4699,-0.19155,-0.311588,0.12003799999999998,34.26294820717131,-3,0.0
Full IQN,42,2021,SpreadReturn,SpreadReturn,7,20,251,-0.8102,-0.4542,-0.35600000000000004,-0.19155,-0.107896,-0.08365399999999999,37.05179282868526,11,0.3984063745019917
Full IQN,42,2021,SpreadReturn,SpreadReturn,8,20,251,-0.8102,-1.4525,0.6422999999999999,-0.19155,-0.345319,0.153769,39.44223107569721,-6,-1.992031872509962
Full IQN,42,2021,SpreadReturn,SpreadReturn,9,20,251,-0.8102,-0.2313,-0.5789,-0.19155,-0.054643,-0.136907,41.43426294820717,1,-1.1952191235059786
Full IQN,42,2021,SpreadReturn,SpreadReturn,10,20,251,-0.8102,0.2529,-1.0631,-0.19155,0.060161,-0.251711,35.45816733067729,3,-0.7968127490039869
Full IQN,42,2021,SpreadReturn,SpreadReturn,11,20,251,-0.8102,-1.6975,0.8873,-0.19155,-0.40778,0.21622999999999998,37.45019920318725,13,0.3984063745019917
Full IQN,42,2021,SpreadReturn,SpreadReturn,12,20,251,-0.8102,0.94,-1.7502,-0.19155,0.224916,-0.416466,36.254980079681275,10,-2.788844621513947
Full IQN,42,2021,SpreadReturn,SpreadReturn,13,20,251,-0.8102,-0.7373,-0.07290000000000008,-0.19155,-0.176048,-0.015501999999999988,29.08366533864542,6,0.7968127490039834
Full IQN,42,2021,SpreadReturn,SpreadReturn,14,20,251,-0.8102,-1.8413,1.0311,-0.19155,-0.440467,0.248917,32.669322709163346,12,0.3984063745019917
Full IQN,42,2021,SpreadReturn,SpreadReturn,15,20,251,-0.8102,-1.2061,0.3958999999999999,-0.19155,-0.290145,0.09859499999999999,33.067729083665334,8,-0.7968127490039869
Full IQN,42,2021,SpreadReturn,SpreadReturn,16,20,251,-0.8102,-1.8213,1.0110999999999999,-0.19155,-0.431853,0.240303,31.872509960159363,0,-2.3904382470119536
Full IQN,42,2021,SpreadReturn,SpreadReturn,17,20,251,-0.8102,-1.2289,0.41870000000000007,-0.19155,-0.293883,0.10233300000000001,39.8406374501992,6,-1.5936254980079703
Full IQN,42,2021,SpreadReturn,SpreadReturn,18,20,251,-0.8102,-0.3477,-0.4625,-0.19155,-0.083309,-0.108241,31.07569721115538,-1,-0.7968127490039869
Full IQN,42,2021,SpreadReturn,SpreadReturn,19,20,251,-0.8102,-0.7029,-0.10730000000000006,-0.19155,-0.165724,-0.025825999999999988,38.645418326693225,5,1.195219123505975
Full IQN,42,2021,RollStd20,RollStd20,0,20,251,-0.8102,-0.4572,-0.35300000000000004,-0.19155,-0.108901,-0.082649,32.669322709163346,14,-1.5936254980079703
