strategy,seed,N_days,GrossPnL,TransactionCost,NetPnL,PctShort,PctFlat,PctLong,NPositionChanges
Full IQN,7,1251,-0.023242629302548737,0.35774729798336913,-0.38098992728591796,34.85211830535572,14.86810551558753,50.27977617905675,312
Full IQN,42,1251,-0.04597466648441162,0.3677199560768287,-0.41369462256124045,35.09192645883294,21.262989608313347,43.645083932853716,322
Full IQN,123,1251,0.12177705199930389,0.4020745766467255,-0.2802975246474216,33.89288569144684,11.750599520383693,54.35651478816946,334
Full IQN,999,1251,-0.6276820510796127,0.35871489878846796,-0.9863969498680807,45.88329336530775,18.705035971223023,35.41167066346922,353
Full IQN,2024,1251,-0.07264922156124137,0.30283568609152833,-0.3754849076527698,30.05595523581135,18.94484412470024,50.99920063948841,291
No Explicit Regime IQN,42,1251,0.3953036773594342,0.42590539765181323,-0.03060172029237887,40.12789768185452,20.943245403677057,38.928856914468426,339
No Explicit Regime IQN,123,1251,0.12111982004637578,0.4374900211848409,-0.31637020113846526,40.92725819344524,19.26458832933653,39.80815347721823,395
No Explicit Regime IQN,2024,1251,-0.8576024173188362,0.4220126006115661,-1.2796150179304022,44.92406075139888,9.832134292565947,45.24380495603517,328
Parameter-Matched Double DQN,7,1251,0.08643893785742038,0.3932079310881057,-0.3067689932306854,30.775379696243004,24.060751398880896,45.1638689048761,377
Parameter-Matched Double DQN,42,1251,0.49691928733062907,0.33964805241384854,0.1572712349167803,40.44764188649081,16.546762589928058,43.005595523581135,299
Parameter-Matched Double DQN,123,1251,-0.06043389445988612,0.3896891369222834,-0.4501230313821696,30.85531574740208,19.424460431654676,49.72022382094325,358
Parameter-Matched Double DQN,999,1251,-0.028381805163100682,0.4105223747802149,-0.43890417994331576,33.65307753796962,27.657873701039172,38.689048760991206,375
Parameter-Matched Double DQN,2024,1251,0.6199060078591861,0.35818824934242566,0.2617177585167604,27.49800159872102,33.972821742605916,38.52917665867306,345
w/o Regime-in-Reward,42,1251,-0.6121297311463709,0.3973279089652534,-1.0094576401116242,48.76099120703437,6.634692246203038,44.60431654676259,306
w/o Regime-in-Reward,123,1251,0.12122091087679687,0.3624657389821592,-0.24124482810536232,37.410071942446045,13.42925659472422,49.16067146282973,306
w/o Regime-in-Reward,2024,1251,0.19578348060113154,0.3304089405154946,-0.13462545991436287,38.689048760991206,10.551558752997602,50.75939248601119,294
w/o Regime-in-State,42,1251,0.12366622412054043,0.4422620048503074,-0.318595780729767,45.32374100719424,20.863309352517987,33.81294964028777,401
w/o Regime-in-State,123,1251,0.09025917929424068,0.4030673688762612,-0.3128081895820207,38.44924060751399,18.305355715427655,43.245403677058356,380
w/o Regime-in-State,2024,1251,0.10581688161318273,0.4508828752162675,-0.3450659936030849,40.84732214228617,16.546762589928058,42.60591526778577,398
