strategy,seed,Label,CumReturn,AnnReturn,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,PctPositive,NPositionChanges,N_days
Full IQN,7,Full IQN,-0.38099,-0.076746,0.183854,-0.4174,-0.6076,-0.789185,-0.0972,40.93,310,1251
Full IQN,42,Full IQN,-0.413695,-0.083334,0.187479,-0.4445,-0.6323,-0.783928,-0.1063,36.69,319,1251
Full IQN,123,Full IQN,-0.280298,-0.056463,0.196342,-0.2876,-0.3907,-0.816019,-0.0692,43.49,333,1251
Full IQN,999,Full IQN,-0.986397,-0.198699,0.191175,-1.0394,-1.4645,-1.101015,-0.1805,37.49,350,1251
Full IQN,2024,Full IQN,-0.375485,-0.075637,0.191857,-0.3942,-0.5178,-0.535529,-0.1412,41.49,291,1251
No Explicit Regime IQN,42,No Explicit Regime IQN,-0.030602,-0.006164,0.19207,-0.0321,-0.0473,-0.381903,-0.0161,38.29,337,1251
No Explicit Regime IQN,123,No Explicit Regime IQN,-0.31637,-0.063729,0.17507,-0.364,-0.5063,-0.814507,-0.0782,38.77,395,1251
No Explicit Regime IQN,2024,No Explicit Regime IQN,-1.279615,-0.257764,0.186747,-1.3803,-1.7775,-1.334151,-0.1932,41.57,325,1251
Parameter-Matched Double DQN,7,Parameter-Matched Double DQN,-0.306769,-0.061795,0.172118,-0.359,-0.475,-0.654938,-0.0944,38.69,377,1251
Parameter-Matched Double DQN,42,Parameter-Matched Double DQN,0.157271,0.031681,0.191169,0.1657,0.2256,-0.34195,0.0926,43.96,299,1251
Parameter-Matched Double DQN,123,Parameter-Matched Double DQN,-0.450123,-0.090672,0.175705,-0.516,-0.7065,-0.724165,-0.1252,38.69,359,1251
Parameter-Matched Double DQN,999,Parameter-Matched Double DQN,-0.438904,-0.088412,0.17175,-0.5148,-0.7123,-0.756005,-0.1169,34.37,375,1251
Parameter-Matched Double DQN,2024,Parameter-Matched Double DQN,0.261718,0.05272,0.147827,0.3566,0.5207,-0.359153,0.1468,33.01,345,1251
w/o Regime-in-Reward,42,w/o Regime-in-Reward,-1.009458,-0.203344,0.202274,-1.0053,-1.323,-1.122979,-0.1811,44.28,305,1251
w/o Regime-in-Reward,123,w/o Regime-in-Reward,-0.241245,-0.048596,0.194661,-0.2496,-0.3276,-0.792379,-0.0613,43.8,305,1251
w/o Regime-in-Reward,2024,w/o Regime-in-Reward,-0.134625,-0.027119,0.197453,-0.1373,-0.1959,-0.518411,-0.0523,43.73,291,1251
w/o Regime-in-State,42,w/o Regime-in-State,-0.318596,-0.064178,0.192421,-0.3335,-0.4689,-0.429593,-0.1494,38.93,400,1251
w/o Regime-in-State,123,w/o Regime-in-State,-0.312808,-0.063012,0.189201,-0.333,-0.4749,-0.531271,-0.1186,39.89,379,1251
w/o Regime-in-State,2024,w/o Regime-in-State,-0.345066,-0.06951,0.193537,-0.3592,-0.5167,-0.779329,-0.0892,40.13,397,1251
