strategy,regime_band,N_seeds,PctShort_Mean,PctFlat_Mean,PctLong_Mean,MeanNetPnL_Mean
Full IQN,Low,5,31.646778042959426,16.0381861575179,52.315035799522676,-0.0004640940866454986
Full IQN,Mid,5,35.566265060240966,16.433734939759038,48.0,-0.0003867907267297705
Full IQN,High,5,40.67146282973621,18.848920863309353,40.47961630695444,-0.0003175041067284591
No Explicit Regime IQN,Low,3,40.25457438345266,16.785998408910103,42.959427207637226,-0.00039871798238877106
No Explicit Regime IQN,Mid,3,43.45381526104418,16.546184738955823,40.0,-0.000742142429719669
No Explicit Regime IQN,High,3,42.28617106314948,16.7066346922462,41.007194244604314,-0.00016101607553762847
Parameter-Matched Double DQN,Low,5,28.878281622911693,27.016706443914085,44.105011933174225,-0.000133942523597462
Parameter-Matched Double DQN,Mid,5,33.204819277108435,23.180722891566266,43.6144578313253,-0.00021560996832985365
Parameter-Matched Double DQN,High,5,35.87529976019185,22.78177458033573,41.34292565947242,-2.3408604269304743e-05
w/o Regime-in-Reward,Low,3,37.23150357995227,10.342084327764518,52.426412092283215,-0.0009726470023026803
w/o Regime-in-Reward,Mid,3,41.44578313253012,10.602409638554215,47.95180722891566,-0.0003198987488716309
w/o Regime-in-Reward,High,3,46.20303756994405,9.672262190247801,44.124700239808156,0.00018829999688912857
w/o Regime-in-State,Low,3,42.32299124900557,18.138424821002385,39.538583929992036,-0.0003833849939334988
w/o Regime-in-State,Mid,3,40.0,17.51004016064257,42.48995983935743,-0.00042563241818673096
w/o Regime-in-State,High,3,42.28617106314948,20.063948840927257,37.649880095923265,2.8263256676271546e-05
