strategy,seed,regime_band,N_days,MeanDailyPnL,AnnReturn,AnnVol,Sharpe,PctPositive
Always Long Spread,0,Low,419,-2.2663201216710923e-05,-0.005711,0.252057,-0.0227,51.31
Always Long Spread,0,Mid,415,0.00017668206490273998,0.044524,0.19158,0.2324,50.36
Always Long Spread,0,High,417,-0.0007998413716868014,-0.20156,0.163589,-1.2321,47.24
Always Short Spread,0,Low,419,6.1009998296089886e-06,0.001537,0.252134,0.0061,48.69
Always Short Spread,0,Mid,415,-0.00020672962950373498,-0.052096,0.191609,-0.2719,49.64
Always Short Spread,0,High,417,0.0007756658467908357,0.195468,0.163415,1.1961,52.52
Cash / No Trade,0,Low,419,0.0,0.0,0.0,0.0,0.0
Cash / No Trade,0,Mid,415,0.0,0.0,0.0,0.0,0.0
Cash / No Trade,0,High,417,0.0,0.0,0.0,0.0,0.0
Full IQN,7,Low,419,-5.7219023029940485e-05,-0.014419,0.217236,-0.0664,41.77
Full IQN,7,Mid,415,-0.0006176659357179919,-0.155652,0.18011,-0.8642,42.17
Full IQN,7,High,417,-0.00024144794559569874,-0.060845,0.147187,-0.4134,38.85
Full IQN,42,Low,419,-0.0008795029318419158,-0.221635,0.235363,-0.9417,35.8
Full IQN,42,Mid,415,4.0796137924792044e-05,0.010281,0.170954,0.0601,40.0
Full IQN,42,High,417,-0.0001489527370701833,-0.037536,0.143456,-0.2617,34.29
Full IQN,123,Low,419,-0.0002482877354485595,-0.062569,0.246545,-0.2538,43.91
Full IQN,123,Mid,415,-9.41628142515202e-05,-0.023729,0.179818,-0.132,46.99
Full IQN,123,High,417,-0.000328986560144111,-0.082905,0.149627,-0.5541,39.57
Full IQN,999,Low,419,-0.0010526797132869544,-0.265275,0.237873,-1.1152,35.56
Full IQN,999,Mid,415,-0.0005623373091802283,-0.141709,0.173343,-0.8175,38.07
Full IQN,999,High,417,-0.0007480915268370555,-0.188519,0.151174,-1.247,38.85
Full IQN,2024,Low,419,-8.278102962012277e-05,-0.020861,0.235275,-0.0887,40.1
Full IQN,2024,Mid,415,-0.0007005837124239043,-0.176547,0.17769,-0.9936,38.8
Full IQN,2024,High,417,-0.00012004176399524723,-0.030251,0.152724,-0.1981,45.56
No Explicit Regime IQN,42,Low,419,6.746554788755174e-05,0.017001,0.24042,0.0707,39.38
No Explicit Regime IQN,42,Mid,415,-0.00013123467554805964,-0.033071,0.177783,-0.186,37.35
No Explicit Regime IQN,42,High,417,-1.0569291378461168e-05,-0.002663,0.145372,-0.0183,38.13
No Explicit Regime IQN,123,Low,419,0.00015694273598071791,0.03955,0.196013,0.2018,39.86
No Explicit Regime IQN,123,Mid,415,-0.0010471808222748292,-0.26389,0.176994,-1.491,34.94
No Explicit Regime IQN,123,High,417,0.00012578137585052312,0.031697,0.148087,0.214,41.49
No Explicit Regime IQN,2024,Low,419,-0.001420562231034583,-0.357982,0.214715,-1.6672,38.9
No Explicit Regime IQN,2024,Mid,415,-0.0010480117913361183,-0.264099,0.182095,-1.4503,42.41
No Explicit Regime IQN,2024,High,417,-0.0005982603110849471,-0.150762,0.15879,-0.9494,43.41
Parameter-Matched Double DQN,7,Low,419,-0.0005362162454958556,-0.135126,0.196648,-0.6871,36.52
Parameter-Matched Double DQN,7,Mid,415,0.0002417484944652707,0.060921,0.165183,0.3688,39.76
Parameter-Matched Double DQN,7,High,417,-0.0004374580613213648,-0.110239,0.150908,-0.7305,39.81
Parameter-Matched Double DQN,42,Low,419,0.0007299692003149212,0.183952,0.232246,0.7921,46.06
Parameter-Matched Double DQN,42,Mid,415,-0.0002755066632657002,-0.069428,0.18608,-0.3731,46.51
Parameter-Matched Double DQN,42,High,417,-8.213571884869541e-05,-0.020698,0.144349,-0.1434,39.33
Parameter-Matched Double DQN,123,Low,419,-0.0007264880324314202,-0.183075,0.209947,-0.872,33.89
Parameter-Matched Double DQN,123,Mid,415,-0.0005294695613062623,-0.133426,0.165813,-0.8047,41.93
Parameter-Matched Double DQN,123,High,417,0.00017747079651965098,0.044723,0.1444,0.3097,40.29
Parameter-Matched Double DQN,999,Low,419,-0.0008123261556728433,-0.204706,0.196761,-1.0404,30.55
Parameter-Matched Double DQN,999,Mid,415,-0.00017258686633407746,-0.043492,0.168099,-0.2587,33.98
Parameter-Matched Double DQN,999,High,417,-6.45466934958085e-05,-0.016266,0.146251,-0.1112,38.61
Parameter-Matched Double DQN,2024,Low,419,0.0006753486152978881,0.170188,0.15731,1.0819,31.98
Parameter-Matched Double DQN,2024,Mid,415,-0.0003422352452084991,-0.086243,0.150833,-0.5718,31.57
Parameter-Matched Double DQN,2024,High,417,0.00028962665579969414,0.072986,0.133862,0.5452,35.49
Z-score Rule,0,Low,419,9.2243117592227e-05,0.023245,0.155865,0.1491,13.37
Z-score Rule,0,Mid,415,-0.0003145720492634456,-0.079272,0.109752,-0.7223,11.57
Z-score Rule,0,High,417,-0.00025735488288731697,-0.064853,0.091837,-0.7062,13.91
w/o Regime-in-Reward,42,Low,419,-0.001632273790241845,-0.411333,0.24825,-1.6569,40.57
w/o Regime-in-Reward,42,Mid,415,-0.0011061150580002582,-0.278741,0.186808,-1.4921,43.61
w/o Regime-in-Reward,42,High,417,0.00032015066443600925,0.080678,0.159923,0.5045,48.68
w/o Regime-in-Reward,123,Low,419,-0.001452900244201772,-0.366131,0.244835,-1.4954,42.24
w/o Regime-in-Reward,123,Mid,415,0.0003509453877412818,0.088438,0.175455,0.5041,42.89
w/o Regime-in-Reward,123,High,417,0.0005320816266248158,0.134085,0.149,0.8999,46.28
w/o Regime-in-Reward,2024,Low,419,0.00016723302753557658,0.042143,0.237591,0.1774,41.53
w/o Regime-in-Reward,2024,Mid,415,-0.00020452657635591627,-0.051541,0.185844,-0.2773,44.34
w/o Regime-in-Reward,2024,High,417,-0.0002873323003934396,-0.072408,0.160749,-0.4504,45.32
w/o Regime-in-State,42,Low,419,-0.0005885588389450604,-0.148317,0.235985,-0.6285,37.23
w/o Regime-in-State,42,Mid,415,-0.0005293716034965886,-0.133402,0.179344,-0.7438,37.83
w/o Regime-in-State,42,High,417,0.00035419565525011406,0.089257,0.151561,0.5889,41.73
w/o Regime-in-State,123,Low,419,1.6159361263815686e-05,0.004072,0.230838,0.0176,40.33
w/o Regime-in-State,123,Mid,415,-0.0006219514912554947,-0.156732,0.18035,-0.869,40.48
w/o Regime-in-State,123,High,417,-0.00014740789707560952,-0.037147,0.146369,-0.2538,38.85
w/o Regime-in-State,2024,Low,419,-0.0005777555041192518,-0.145594,0.238922,-0.6094,41.05
w/o Regime-in-State,2024,Mid,415,-0.00012557415980810966,-0.031645,0.176892,-0.1789,38.31
w/o Regime-in-State,2024,High,417,-0.00012199798814569016,-0.030743,0.154391,-0.1991,41.01
