strategy,regime_band,N_series,N_days,MeanDailyPnL_Mean,MeanDailyPnL_SD,Sharpe_Mean,Sharpe_SD,PctPositive_Mean
Always Long Spread,High,1,417.0,-0.0007998413716868014,,-1.2321,,47.24
Always Long Spread,Low,1,419.0,-2.2663201216710923e-05,,-0.0227,,51.31
Always Long Spread,Mid,1,415.0,0.00017668206490273998,,0.2324,,50.36
Always Short Spread,High,1,417.0,0.0007756658467908357,,1.1961,,52.52
Always Short Spread,Low,1,419.0,6.1009998296089886e-06,,0.0061,,48.69
Always Short Spread,Mid,1,415.0,-0.00020672962950373498,,-0.2719,,49.64
Cash / No Trade,High,1,417.0,0.0,,0.0,,0.0
Cash / No Trade,Low,1,419.0,0.0,,0.0,,0.0
Cash / No Trade,Mid,1,415.0,0.0,,0.0,,0.0
Full IQN,High,5,417.0,-0.00031750410672845916,0.00025432403236316515,-0.53486,0.4213934539121367,39.424
Full IQN,Low,5,419.0,-0.0004640940866454986,0.00046811240493696457,-0.49315999999999993,0.49777683051745186,39.428
Full IQN,Mid,5,415.0,-0.0003867907267297705,0.00033580039628949474,-0.54944,0.4780175969564301,41.206
No Explicit Regime IQN,High,3,417.0,-0.00016101607553762836,0.0003847528651653768,-0.25123333333333336,0.6156852632094854,41.01
No Explicit Regime IQN,Low,3,419.0,-0.0003987179823887711,0.0008860732436797523,-0.46490000000000004,1.043283647911727,39.38
No Explicit Regime IQN,Mid,3,415.0,-0.000742142429719669,0.0005290617976263689,-1.0424333333333333,0.7419721445804643,38.23333333333333
Parameter-Matched Double DQN,High,5,417.0,-2.3408604269304723e-05,0.00028058945853547763,-0.026039999999999997,0.4889596026258202,38.706
Parameter-Matched Double DQN,Low,5,419.0,-0.00013394252359746195,0.0007704599752493418,-0.14509999999999995,1.0009473687462294,35.8
Parameter-Matched Double DQN,Mid,5,415.0,-0.00021560996832985365,0.0002868611030219183,-0.32789999999999997,0.4413184847703527,38.75
Z-score Rule,High,1,417.0,-0.00025735488288731697,,-0.7062,,13.91
Z-score Rule,Low,1,419.0,9.2243117592227e-05,,0.1491,,13.37
Z-score Rule,Mid,1,415.0,-0.0003145720492634456,,-0.7223,,11.57
w/o Regime-in-Reward,High,3,417.0,0.00018829999688912846,0.0004253213430422793,0.318,0.6942004105443903,46.76
w/o Regime-in-Reward,Low,3,419.0,-0.0009726470023026802,0.0009912308404568515,-0.9916333333333333,1.015627768098792,41.446666666666665
w/o Regime-in-Reward,Mid,3,415.0,-0.0003198987488716309,0.0007353498074245894,-0.4217666666666666,1.0059108177832334,43.61333333333334
w/o Regime-in-State,High,3,417.0,2.826325667627146e-05,0.00028255152131607844,0.045333333333333316,0.47153638601208003,40.53
w/o Regime-in-State,Low,3,419.0,-0.0003833849939334988,0.0003460577218302866,-0.40676666666666667,0.36763637378982694,39.53666666666666
w/o Regime-in-State,Mid,3,415.0,-0.00042563241818673096,0.0002639488164782549,-0.5972333333333334,0.36765587623936236,38.873333333333335
