strategy,seed,regime_band,N_days,MeanDailyPnL,AnnReturn,AnnVol,Sharpe,PctPositive
Always Long Spread,0,Low,1146,-0.00010659831390806112,-0.026863,0.208488,-0.1288,50.35
Always Long Spread,0,Mid,105,-0.0014051905583802183,-0.354108,0.17493,-2.0243,41.9
Always Short Spread,0,Low,1146,8.156967600688052e-05,0.020556,0.20848,0.0986,49.56
Always Short Spread,0,Mid,105,0.0013974984008804712,0.35217,0.174921,2.0133,58.1
Cash / No Trade,0,Low,1146,0.0,0.0,0.0,0.0,0.0
Cash / No Trade,0,Mid,105,0.0,0.0,0.0,0.0,0.0
Full IQN,7,Low,1146,-0.0002736482216944085,-0.068959,0.187854,-0.3671,41.62
Full IQN,7,Mid,105,-0.0006418006211821512,-0.161734,0.132449,-1.2211,33.33
Full IQN,42,Low,1146,-0.00031890117371496056,-0.080363,0.191548,-0.4195,37.78
Full IQN,42,Mid,105,-0.0004593702617513862,-0.115761,0.135319,-0.8555,24.76
Full IQN,123,Low,1146,-0.00021618391572551782,-0.054478,0.199402,-0.2732,43.54
Full IQN,123,Mid,105,-0.00031000721167598344,-0.078122,0.159157,-0.4908,42.86
Full IQN,999,Low,1146,-0.0007420697716318126,-0.187002,0.194602,-0.9609,38.05
Full IQN,999,Mid,105,-0.001295095157885935,-0.326364,0.148476,-2.1981,31.43
Full IQN,2024,Low,1146,-0.0002957026115218832,-0.074517,0.194516,-0.3831,41.27
Full IQN,2024,Mid,105,-0.00034866395093992016,-0.087863,0.159982,-0.5492,43.81
No Explicit Regime IQN,42,Low,1146,3.862641106023506e-05,0.009734,0.194302,0.0501,38.13
No Explicit Regime IQN,42,Mid,105,-0.0007130246415943652,-0.179682,0.165367,-1.0866,40.0
No Explicit Regime IQN,123,Low,1146,-0.00031101348055257,-0.078375,0.177044,-0.4427,38.57
No Explicit Regime IQN,123,Mid,105,0.0003814404530931431,0.096123,0.151505,0.6345,40.95
No Explicit Regime IQN,2024,Low,1146,-0.0010710710582120726,-0.26991,0.188204,-1.4341,41.1
No Explicit Regime IQN,2024,Mid,105,-0.0004968341449463552,-0.125202,0.169805,-0.7373,46.67
Parameter-Matched Double DQN,7,Low,1146,-0.00017662838950869008,-0.04451,0.172074,-0.2587,38.39
Parameter-Matched Double DQN,7,Mid,105,-0.0009938367509878716,-0.250447,0.172154,-1.4548,41.9
Parameter-Matched Double DQN,42,Low,1146,0.00027233996800705984,0.06863,0.193533,0.3546,44.24
Parameter-Matched Double DQN,42,Mid,105,-0.001474574937326765,-0.371593,0.160987,-2.3082,40.95
Parameter-Matched Double DQN,123,Low,1146,-0.00028357273741578236,-0.07146,0.177151,-0.4034,38.83
Parameter-Matched Double DQN,123,Mid,105,-0.0011918921362255525,-0.300357,0.15847,-1.8954,37.14
Parameter-Matched Double DQN,999,Low,1146,-0.00028102476886722683,-0.070818,0.17211,-0.4115,33.68
Parameter-Matched Double DQN,999,Mid,105,-0.0011128551887759405,-0.28044,0.16729,-1.6764,41.9
Parameter-Matched Double DQN,2024,Low,1146,0.00022681856678497306,0.057158,0.147972,0.3863,32.37
Parameter-Matched Double DQN,2024,Mid,105,1.6987437916012814e-05,0.004281,0.146206,0.0293,40.0
Z-score Rule,0,Low,1146,-0.0002005468815709282,-0.050538,0.124412,-0.4062,12.3
Z-score Rule,0,Mid,105,0.00029154481850557893,0.073469,0.095675,0.7679,20.0
w/o Regime-in-Reward,42,Low,1146,-0.0009456860152379537,-0.238313,0.204989,-1.1626,43.89
w/o Regime-in-Reward,42,Mid,105,0.0007076050795340056,0.178316,0.167964,1.0616,48.57
w/o Regime-in-Reward,123,Low,1146,-0.00024028356674105853,-0.060551,0.197469,-0.3066,44.33
w/o Regime-in-Reward,123,Mid,105,0.0003249537083799116,0.081888,0.160615,0.5098,38.1
w/o Regime-in-Reward,2024,Low,1146,2.372828938128964e-05,0.00598,0.199292,0.03,43.54
w/o Regime-in-Reward,2024,Mid,105,-0.0015411245670982944,-0.388363,0.174518,-2.2253,45.71
w/o Regime-in-State,42,Low,1146,-0.0003256367515884299,-0.08206,0.19518,-0.4204,38.39
w/o Regime-in-State,42,Mid,105,0.000519847015148321,0.131001,0.158711,0.8254,44.76
w/o Regime-in-State,123,Low,1146,-0.0002848584549711634,-0.071784,0.191574,-0.3747,39.97
w/o Regime-in-State,123,Mid,105,0.0001299009506184074,0.032735,0.160915,0.2034,39.05
w/o Regime-in-State,2024,Low,1146,-0.0004361633238389429,-0.109913,0.19635,-0.5598,39.62
w/o Regime-in-State,2024,Mid,105,0.0014740683382508933,0.371465,0.156978,2.3664,45.71
