strategy,regime_band,N_series,N_days,MeanDailyPnL_Mean,MeanDailyPnL_SD,Sharpe_Mean,Sharpe_SD,PctPositive_Mean
Always Long Spread,Low,1,1146.0,-0.00010659831390806112,,-0.1288,,50.35
Always Long Spread,Mid,1,105.0,-0.0014051905583802183,,-2.0243,,41.9
Always Short Spread,Low,1,1146.0,8.156967600688052e-05,,0.0986,,49.56
Always Short Spread,Mid,1,105.0,0.0013974984008804712,,2.0133,,58.1
Cash / No Trade,Low,1,1146.0,0.0,,0.0,,0.0
Cash / No Trade,Mid,1,105.0,0.0,,0.0,,0.0
Full IQN,Low,5,1146.0,-0.00036930113885771655,0.00021184175572478008,-0.48075999999999997,0.2737811315631521,40.452
Full IQN,Mid,5,105.0,-0.0006109874406870752,0.0004035292124804501,-1.06294,0.6978372181246857,35.238
No Explicit Regime IQN,Low,3,1146.0,-0.00044781937590146915,0.0005673570375689382,-0.6089,0.7559293882367585,39.26666666666667
No Explicit Regime IQN,Mid,3,105.0,-0.00027613944448252577,0.0005796490955586395,-0.3964666666666667,0.9097647076762942,42.54
Parameter-Matched Double DQN,Low,5,1146.0,-4.8413472199933274e-05,0.0002758996217209255,-0.06653999999999999,0.40367700330833806,37.501999999999995
Parameter-Matched Double DQN,Mid,5,105.0,-0.0009512343150800233,0.0005694715162118188,-1.4610999999999998,0.8907694482861431,40.378
Z-score Rule,Low,1,1146.0,-0.0002005468815709282,,-0.4062,,12.3
Z-score Rule,Mid,1,105.0,0.00029154481850557893,,0.7679,,20.0
w/o Regime-in-Reward,Low,3,1146.0,-0.00038741376419924086,0.0005011751138605802,-0.47973333333333334,0.6148618164541797,43.919999999999995
w/o Regime-in-Reward,Mid,3,105.0,-0.00016952192639479234,0.0012031524720292695,-0.21796666666666656,1.760159408500643,44.126666666666665
w/o Regime-in-State,Low,3,1146.0,-0.0003488861767995121,7.828596723077681e-05,-0.45163333333333333,0.0964216953456707,39.32666666666666
w/o Regime-in-State,Mid,3,105.0,0.0007079387680058738,0.0006915420248354076,1.1317333333333333,1.1135629004835486,43.173333333333325
