strategy,seed,test_year,date,position,gross_pnl,cost,net_pnl,position_changed,stability_score
Parameter-Matched Double DQN,123,2021,2021-01-05,1,0.009628831358972257,0.0009075941282909398,0.008721237230681318,1,0.09203930326560843
Parameter-Matched Double DQN,123,2021,2021-01-06,1,-0.003549594561873018,3.4529964633676913e-06,-0.0035530475583363855,0,0.09203930326560843
Parameter-Matched Double DQN,123,2021,2021-01-07,1,0.00648210802001729,3.299839323528224e-06,0.006478808180693762,0,0.09203930326560843
Parameter-Matched Double DQN,123,2021,2021-01-08,1,-0.001727732709607509,3.497718320702274e-06,-0.0017312304279282114,0,0.09203930326560843
Parameter-Matched Double DQN,123,2021,2021-01-11,1,-0.01407548874270392,3.7562631974019656e-06,-0.014079245005901322,0,0.09203930326560843
Parameter-Matched Double DQN,123,2021,2021-01-12,1,-0.001728770396038457,3.0006422846126125e-06,-0.0017317710383230695,0,0.09203930326560843
Parameter-Matched Double DQN,123,2021,2021-01-13,1,0.008366541699404605,3.2556866124723582e-06,0.008363286012792133,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-14,1,0.01326030081131257,3.3942069460803775e-06,0.01325690660436649,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-15,1,-0.01065614960971167,3.85410879727606e-06,-0.010660003718508946,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-19,1,0.002232047336521104,2.939555471434454e-06,0.0022291077810496695,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-20,1,0.004191161534513946,2.5217065550047282e-06,0.004188639827958941,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-21,1,0.008999600164854077,2.4609557385535386e-06,0.008997139209115523,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-22,1,-0.009205265849117933,2.689632724874394e-06,-0.009207955481842807,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-25,1,0.007103355821501678,1.4864042939856381e-06,0.007101869417207692,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-26,1,0.005391583309547135,2.2634420931847213e-06,0.00538931986745395,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-27,1,0.003071408797867309,2.97894538299915e-06,0.00306842985248431,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-28,1,0.004271127143203692,2.885245599194841e-06,0.0042682418976044975,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-01-29,1,0.003970856466676198,2.9114863845276784e-06,0.00396794498029167,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-01,1,-0.002401308613226332,3.46463153395914e-06,-0.0024047732447602913,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-02,1,-0.002309367487738123,2.8476844147269816e-06,-0.00231221517215285,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-03,1,-0.004128582753969712,2.7125369557266105e-06,-0.004131295290925438,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-04,1,0.006108827040092611,3.0114058781017736e-06,0.00610581563421451,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-05,1,0.001515340807678405,4.165938755753672e-06,0.0015111748689226514,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-08,1,0.001795946645161972,3.593579400869599e-06,0.0017923530657611023,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-09,1,0.005425639093312053,2.5507142849736514e-06,0.005423088379027079,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-10,1,0.002208375915045128,3.226899115849318e-06,0.0022051490159292787,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-11,1,-0.005173662521938417,2.865010393723541e-06,-0.00517652753233214,0,0.2213007196572652
Parameter-Matched Double DQN,123,2021,2021-02-12,1,0.007172973942695781,2.767981123624058e-06,0.007170205961572157,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-16,1,0.006482952382622621,3.792365876179038e-06,0.006479160016746442,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-17,1,-0.00836119305803415,4.491816807193627e-06,-0.008365684874841343,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-18,1,0.007259087859062589,5.084536692150608e-06,0.007254003322370439,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-19,1,0.005465180142247039,5.993339456313029e-06,0.005459186802790726,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-22,1,0.007630170879643128,6.994135009243119e-06,0.007623176744633885,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-23,1,0.007591206881899987,6.4696197476614425e-06,0.007584737262152325,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-24,1,0.008092754152491778,6.357101229266526e-06,0.008086397051262512,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-25,1,-0.001965667783451204,8.16100632867892e-06,-0.001973828789779883,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-02-26,1,0.001786804355588162,9.332528605905492e-06,0.0017774718269822564,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-01,1,-0.001209778466129562,9.444153428710004e-06,-0.001219222619558272,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-02,1,0.007037363440123548,7.974707567963424e-06,0.007029388732555585,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-03,1,0.006140803495754592,1.0705727814419586e-05,0.0061300977679401725,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-04,1,0.009043467329620369,1.0437818598310958e-05,0.009033029511022058,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-05,1,0.007925614223918798,1.1933911191294722e-05,0.007913680312727503,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-08,1,0.00737199312237574,1.1719774414211022e-05,0.007360273347961529,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-09,1,-0.0002505899319830383,1.559325867868898e-05,-0.00026618319066172726,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-10,1,0.007198006849605473,1.5234263233151676e-05,0.007182772586372321,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-11,1,0.02887749647849938,1.3688201613289847e-05,0.02886380827688609,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-12,1,0.01909627970296108,9.568847018349286e-06,0.01908671085594273,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-15,1,-0.03430743279259323,6.424881592921594e-06,-0.034313857674186155,0,0.06554053407848053
Parameter-Matched Double DQN,123,2021,2021-03-16,1,0.006972683187118503,9.230254106248892e-06,0.0069634529330122544,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-17,1,0.0001829842697324592,7.0211718985879875e-06,0.00017596309783387122,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-18,1,0.004844072204268871,3.93015754298915e-06,0.004840142046725882,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-19,1,-0.01634259402515496,5.5504137930172115e-06,-0.016348144438947977,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-22,1,0.04027229807355223,6.461596914669743e-06,0.04026583647663756,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-23,1,-0.003774382858792932,6.010993387490626e-06,-0.0037803938521804225,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-24,1,-0.001254210838970456,1.157132370866289e-05,-0.001265782162679119,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-25,1,-0.02597458522868726,7.429796709635533e-06,-0.025982015025396897,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-26,1,-0.007600040541861848,5.051639944361232e-06,-0.007605092181806209,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-29,1,0.01618926667843631,1.6062202218419808e-06,0.01618766045821447,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-30,1,-0.01939410412084408,3.998188876561809e-06,-0.019398102309720642,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-03-31,1,-0.03975440431044541,1.2545121804569126e-07,-0.03975452976166346,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-01,1,0.02162799496605843,2.3830767609603343e-06,0.02162561188929747,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-05,1,0.02177284106148239,8.181932089866562e-07,0.021772022868273403,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-06,0,0.0,0.0012397889170973197,-0.0012397889170973197,1,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-07,1,-0.01683920996456761,0.0012374051832938701,-0.01807661514786148,1,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-08,1,0.01290947281619958,7.855431795600332e-07,0.01290868727302002,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-09,1,0.01173201261729646,1.421159518746884e-07,0.011731870501344586,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-12,1,-0.01761728306977455,9.323340799317903e-06,-0.01762660641057387,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-13,1,0.03028661805825924,9.253899654493997e-06,0.030277364158604745,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-14,1,0.003309056884591089,1.566860516910183e-05,0.0032933882794219872,0,0.009086435590331699
Parameter-Matched Double DQN,123,2021,2021-04-15,1,-0.006909317903121753,1.3606029245314712e-05,-0.006922923932367067,0,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-16,1,0.009512215549672976,1.3023636019598994e-05,0.009499191913653377,0,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-19,1,-0.005884879070396497,1.3950135509638653e-05,-0.005898829205906135,0,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-20,1,0.00599630488560113,1.0820800636805045e-05,0.005985484084964325,0,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-21,1,0.01107887766101507,9.281178560844802e-06,0.011069596482454225,0,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-22,1,-0.005624338098978294,1.0032772735727932e-05,-0.005634370871714022,0,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-23,-1,-0.003050734424553675,0.002254369850833312,-0.005305104275386987,1,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-26,1,0.0004205392765882637,0.0022342861060063585,-0.0018137468294180947,1,0.1698765589975298
Parameter-Matched Double DQN,123,2021,2021-04-27,1,-0.003018225999516608,8.104585212687435e-06,-0.0030263305847292956,0,0.1698765589975298
