strategy,seed,N_days,PositionChanges,AnnualisedPositionChanges,Entries,Exits,ForcedCloses,DirectReversals,MeanNonzeroHoldingDays,MedianNonzeroHoldingDays,PctFlat,GrossPnL,TotalCost,NetPnL,CostAsPctGrossMagnitude
Full IQN,7,1251,316,63.65467625899281,89,89,4,138,4.691629955947136,2.0,14.86810551558753,-0.023242629302548418,0.35774729798335414,-0.38098992728591097,1539.186007428726
Full IQN,42,1251,326,65.66906474820145,97,97,4,132,4.301310043668122,2.0,21.262989608313347,-0.04597466648440897,0.36771995607681207,-0.41369462256123163,799.8316990543348
Full IQN,123,1251,339,68.28776978417265,82,82,5,175,4.2957198443579765,2.0,11.750599520383693,0.12177705199930214,0.40207457664670976,-0.28029752464741786,330.1726967811751
Full IQN,999,1251,357,71.9136690647482,128,128,4,101,4.441048034934497,2.0,18.705035971223023,-0.6276820510796096,0.35871489878844975,-0.9863969498680705,57.149140742747406
Full IQN,2024,1251,295,59.42446043165467,102,102,4,91,5.253886010362694,3.0,18.94484412470024,-0.07264922156124479,0.3028356860915141,-0.37548490765276626,416.8464294365734
No Explicit Regime IQN,42,1251,344,69.29496402877697,79,79,5,186,3.732075471698113,2.0,20.943245403677057,0.3953036773594357,0.4259053976517963,-0.03060172029237329,107.74131940708851
No Explicit Regime IQN,123,1251,399,80.37410071942446,118,118,4,163,3.5943060498220643,2.0,19.26458832933653,0.12111982004637481,0.43749002118482117,-0.31637020113845904,361.20431901014496
No Explicit Regime IQN,2024,1251,333,67.07913669064749,69,69,5,195,4.2727272727272725,3.0,9.832134292565947,-0.8576024173188327,0.42201260061154966,-1.2796150179303947,49.208420136094034
Parameter-Matched Double DQN,7,1251,382,76.94964028776978,135,135,5,112,3.8461538461538463,2.0,24.060751398880896,0.08643893785741863,0.3932079310880872,-0.30676899323067963,454.8967639291048
Parameter-Matched Double DQN,42,1251,303,61.03597122302158,79,79,4,145,4.660714285714286,2.0,16.546762589928058,0.4969192873306234,0.33964805241383383,0.15727123491678208,68.3507485165997
Parameter-Matched Double DQN,123,1251,361,72.71942446043165,107,107,3,147,3.968503937007874,2.0,19.424460431654676,-0.06043389445988691,0.3896891369222665,-0.4501230313821617,644.8188395022652
Parameter-Matched Double DQN,999,1251,380,76.54676258992805,118,118,5,144,3.454198473282443,2.0,27.657873701039172,-0.028381805163099946,0.410522374780197,-0.4389041799433083,1446.4279929379886
Parameter-Matched Double DQN,2024,1251,350,70.50359712230217,121,121,5,108,3.606986899563319,2.0,33.972821742605916,0.6199060078591853,0.3581882493424084,0.2617177585167666,57.781057902534904
w/o Regime-in-Reward,42,1251,311,62.64748201438849,64,64,5,183,4.728744939271255,2.0,6.634692246203038,-0.612129731146368,0.3973279089652383,-1.0094576401116178,64.90910157576256
w/o Regime-in-Reward,123,1251,310,62.44604316546763,72,72,4,166,4.550420168067227,2.0,13.42925659472422,0.12122091087679526,0.3624657389821443,-0.24124482810535836,299.01255184474064
w/o Regime-in-Reward,2024,1251,298,60.02877697841727,91,91,4,116,5.405797101449275,3.0,10.551558752997602,0.19578348060113054,0.33040894051548053,-0.1346254599143571,168.76242035385113
w/o Regime-in-State,42,1251,404,81.38129496402878,123,123,3,158,3.5231316725978647,2.0,20.863309352517987,0.12366622412053849,0.44226200485028666,-0.3185957807297608,357.6255424595241
w/o Regime-in-State,123,1251,384,77.3525179856115,124,124,4,136,3.9307692307692306,2.0,18.305355715427655,0.09025917929423968,0.4030673688762427,-0.31280818958201484,446.56662294952463
w/o Regime-in-State,2024,1251,403,81.17985611510792,115,115,5,173,3.625,2.0,16.546762589928058,0.10581688161318273,0.45088287521624787,-0.3450659936030781,426.0972997337663
