strategy,type,test_year,N,Sharpe_Mean,Sharpe_SD,CumReturn_Mean,CumReturn_SD,MaxDrawdown_Mean
Always Long Spread,Baseline,2021,1,-0.3211,,-0.081463,,-0.404656
Always Long Spread,Baseline,2022,1,0.0776,,0.021218,,-0.338352
Always Long Spread,Baseline,2023,1,-0.7176,,-0.119192,,-0.247076
Always Long Spread,Baseline,2024,1,-0.9225,,-0.136741,,-0.259485
Always Long Spread,Baseline,2025,1,0.3251,,0.04647,,-0.109692
Always Short Spread,Baseline,2021,1,0.2891,,0.073374,,-0.280625
Always Short Spread,Baseline,2022,1,-0.1001,,-0.027349,,-0.354184
Always Short Spread,Baseline,2023,1,0.689,,0.114356,,-0.165273
Always Short Spread,Baseline,2024,1,0.8868,,0.131477,,-0.159258
Always Short Spread,Baseline,2025,1,-0.3616,,-0.051641,,-0.112604
Cash / No Trade,Baseline,2021,1,0.0,,0.0,,0.0
Cash / No Trade,Baseline,2022,1,0.0,,0.0,,0.0
Cash / No Trade,Baseline,2023,1,0.0,,0.0,,0.0
Cash / No Trade,Baseline,2024,1,0.0,,0.0,,0.0
Cash / No Trade,Baseline,2025,1,0.0,,0.0,,0.0
Full IQN,RL,2021,5,-0.49156000000000005,0.2775739685201046,-0.11596519999999999,0.0638962529902967,-0.3645394
Full IQN,RL,2022,5,-0.3433,0.34494222704679117,-0.0905092,0.09034464283066261,-0.2720466
Full IQN,RL,2023,5,-1.22512,1.0152495934498078,-0.1868574,0.15887419051658455,-0.2794144
Full IQN,RL,2024,5,-1.05104,1.261181841765889,-0.11447560000000001,0.1571709834998178,-0.2039974
Full IQN,RL,2025,5,0.13243999999999997,0.40578784235114784,0.020435200000000004,0.05661462411073662,-0.10492059999999999
No Explicit Regime IQN,RL,2021,3,-1.1701,0.9878237342765156,-0.2515636666666667,0.18183803173245505,-0.39974366666666666
No Explicit Regime IQN,RL,2022,3,-0.6362666666666668,1.7441693734650123,-0.11054233333333334,0.3852134312979408,-0.35742066666666666
No Explicit Regime IQN,RL,2023,3,-0.29766666666666663,1.6850730023750702,-0.06057333333333333,0.2541813025388243,-0.24699400000000002
No Explicit Regime IQN,RL,2024,3,-0.4328666666666667,1.1934546172072624,-0.06621066666666665,0.16390013301194523,-0.20445133333333332
No Explicit Regime IQN,RL,2025,3,-0.30246666666666666,0.7461579613817261,-0.05330566666666666,0.0865680953026768,-0.107113
Parameter-Matched Double DQN,RL,2021,5,-0.5520400000000001,0.8275684581954535,-0.1324024,0.17640883229532472,-0.2984786
Parameter-Matched Double DQN,RL,2022,5,0.38926000000000005,1.239197957551577,0.0730528,0.24160999730081537,-0.216953
Parameter-Matched Double DQN,RL,2023,5,-0.21942,0.4227897196006545,-0.03364060000000001,0.06790964351474686,-0.1637014
Parameter-Matched Double DQN,RL,2024,5,-1.03294,0.9750926971319189,-0.135984,0.1317151026097615,-0.21775519999999998
Parameter-Matched Double DQN,RL,2025,5,0.56518,1.0822082872534289,0.0736128,0.14564181353478128,-0.11914639999999999
Z-score Rule,Baseline,2021,1,-0.7173,,-0.128491,,-0.198614
Z-score Rule,Baseline,2022,1,-0.8563,,-0.133181,,-0.262112
Z-score Rule,Baseline,2023,1,1.7279,,0.126849,,-0.052723
Z-score Rule,Baseline,2024,1,-0.5017,,-0.043482,,-0.080636
Z-score Rule,Baseline,2025,1,-0.3147,,-0.020909,,-0.057049
w/o Regime-in-Reward,RL,2021,3,-1.3591333333333333,0.3208894098179828,-0.331348,0.08952574494523909,-0.480164
w/o Regime-in-Reward,RL,2022,3,-0.33393333333333325,1.0896238081711198,-0.09596700000000001,0.28581203190908533,-0.3748073333333333
w/o Regime-in-Reward,RL,2023,3,-1.0022666666666666,0.5694272941590818,-0.15966466666666668,0.0875850990142349,-0.26608733333333334
w/o Regime-in-Reward,RL,2024,3,0.01683333333333333,1.4795625040306115,-0.013184000000000001,0.18576700368203175,-0.16973133333333335
w/o Regime-in-Reward,RL,2025,3,0.9839333333333333,0.4340546202188537,0.13838733333333333,0.06330891193452413,-0.08463733333333333
w/o Regime-in-State,RL,2021,3,-1.0626,0.7461188980316743,-0.2539723333333333,0.18110538175971838,-0.44068966666666665
w/o Regime-in-State,RL,2022,3,0.11309999999999998,0.7505533758501123,0.024871666666666663,0.19480513865484486,-0.25756033333333334
w/o Regime-in-State,RL,2023,3,-0.48493333333333327,0.7053085305973077,-0.07597133333333334,0.10913235352695978,-0.2587333333333333
w/o Regime-in-State,RL,2024,3,0.0817666666666667,0.5541172469192177,0.012989333333333334,0.07561677814039244,-0.134416
w/o Regime-in-State,RL,2025,3,-0.27190000000000003,0.6336254492995053,-0.033407,0.08553077544954214,-0.14231133333333335
