task_id	test_year	seed	variant	agent_type	regime_in_state	regime_in_reward
1	2021	42	Full IQN	IQN	1	1
2	2021	42	w/o Regime-in-State	IQN	0	1
3	2021	42	w/o Regime-in-Reward	IQN	1	0
4	2021	42	No Explicit Regime IQN	IQN	0	0
5	2021	42	Parameter-Matched Double DQN	DQN	1	1
6	2021	123	Full IQN	IQN	1	1
7	2021	123	w/o Regime-in-State	IQN	0	1
8	2021	123	w/o Regime-in-Reward	IQN	1	0
9	2021	123	No Explicit Regime IQN	IQN	0	0
10	2021	123	Parameter-Matched Double DQN	DQN	1	1
11	2021	2024	Full IQN	IQN	1	1
12	2021	2024	w/o Regime-in-State	IQN	0	1
13	2021	2024	w/o Regime-in-Reward	IQN	1	0
14	2021	2024	No Explicit Regime IQN	IQN	0	0
15	2021	2024	Parameter-Matched Double DQN	DQN	1	1
16	2021	7	Full IQN	IQN	1	1
17	2021	7	Parameter-Matched Double DQN	DQN	1	1
18	2021	999	Full IQN	IQN	1	1
19	2021	999	Parameter-Matched Double DQN	DQN	1	1
20	2022	42	Full IQN	IQN	1	1
21	2022	42	w/o Regime-in-State	IQN	0	1
22	2022	42	w/o Regime-in-Reward	IQN	1	0
23	2022	42	No Explicit Regime IQN	IQN	0	0
24	2022	42	Parameter-Matched Double DQN	DQN	1	1
25	2022	123	Full IQN	IQN	1	1
26	2022	123	w/o Regime-in-State	IQN	0	1
27	2022	123	w/o Regime-in-Reward	IQN	1	0
28	2022	123	No Explicit Regime IQN	IQN	0	0
29	2022	123	Parameter-Matched Double DQN	DQN	1	1
30	2022	2024	Full IQN	IQN	1	1
31	2022	2024	w/o Regime-in-State	IQN	0	1
32	2022	2024	w/o Regime-in-Reward	IQN	1	0
33	2022	2024	No Explicit Regime IQN	IQN	0	0
34	2022	2024	Parameter-Matched Double DQN	DQN	1	1
35	2022	7	Full IQN	IQN	1	1
36	2022	7	Parameter-Matched Double DQN	DQN	1	1
37	2022	999	Full IQN	IQN	1	1
38	2022	999	Parameter-Matched Double DQN	DQN	1	1
39	2023	42	Full IQN	IQN	1	1
40	2023	42	w/o Regime-in-State	IQN	0	1
41	2023	42	w/o Regime-in-Reward	IQN	1	0
42	2023	42	No Explicit Regime IQN	IQN	0	0
43	2023	42	Parameter-Matched Double DQN	DQN	1	1
44	2023	123	Full IQN	IQN	1	1
45	2023	123	w/o Regime-in-State	IQN	0	1
46	2023	123	w/o Regime-in-Reward	IQN	1	0
47	2023	123	No Explicit Regime IQN	IQN	0	0
48	2023	123	Parameter-Matched Double DQN	DQN	1	1
49	2023	2024	Full IQN	IQN	1	1
50	2023	2024	w/o Regime-in-State	IQN	0	1
51	2023	2024	w/o Regime-in-Reward	IQN	1	0
52	2023	2024	No Explicit Regime IQN	IQN	0	0
53	2023	2024	Parameter-Matched Double DQN	DQN	1	1
54	2023	7	Full IQN	IQN	1	1
55	2023	7	Parameter-Matched Double DQN	DQN	1	1
56	2023	999	Full IQN	IQN	1	1
57	2023	999	Parameter-Matched Double DQN	DQN	1	1
58	2024	42	Full IQN	IQN	1	1
59	2024	42	w/o Regime-in-State	IQN	0	1
60	2024	42	w/o Regime-in-Reward	IQN	1	0
61	2024	42	No Explicit Regime IQN	IQN	0	0
62	2024	42	Parameter-Matched Double DQN	DQN	1	1
63	2024	123	Full IQN	IQN	1	1
64	2024	123	w/o Regime-in-State	IQN	0	1
65	2024	123	w/o Regime-in-Reward	IQN	1	0
66	2024	123	No Explicit Regime IQN	IQN	0	0
67	2024	123	Parameter-Matched Double DQN	DQN	1	1
68	2024	2024	Full IQN	IQN	1	1
69	2024	2024	w/o Regime-in-State	IQN	0	1
70	2024	2024	w/o Regime-in-Reward	IQN	1	0
71	2024	2024	No Explicit Regime IQN	IQN	0	0
72	2024	2024	Parameter-Matched Double DQN	DQN	1	1
73	2024	7	Full IQN	IQN	1	1
74	2024	7	Parameter-Matched Double DQN	DQN	1	1
75	2024	999	Full IQN	IQN	1	1
76	2024	999	Parameter-Matched Double DQN	DQN	1	1
77	2025	42	Full IQN	IQN	1	1
78	2025	42	w/o Regime-in-State	IQN	0	1
79	2025	42	w/o Regime-in-Reward	IQN	1	0
80	2025	42	No Explicit Regime IQN	IQN	0	0
81	2025	42	Parameter-Matched Double DQN	DQN	1	1
82	2025	123	Full IQN	IQN	1	1
83	2025	123	w/o Regime-in-State	IQN	0	1
84	2025	123	w/o Regime-in-Reward	IQN	1	0
85	2025	123	No Explicit Regime IQN	IQN	0	0
86	2025	123	Parameter-Matched Double DQN	DQN	1	1
87	2025	2024	Full IQN	IQN	1	1
88	2025	2024	w/o Regime-in-State	IQN	0	1
89	2025	2024	w/o Regime-in-Reward	IQN	1	0
90	2025	2024	No Explicit Regime IQN	IQN	0	0
91	2025	2024	Parameter-Matched Double DQN	DQN	1	1
92	2025	7	Full IQN	IQN	1	1
93	2025	7	Parameter-Matched Double DQN	DQN	1	1
94	2025	999	Full IQN	IQN	1	1
95	2025	999	Parameter-Matched Double DQN	DQN	1	1
